Player,Cluster,tSNE_1,tSNE_2
Max Aarons,1,-30.829338,25.002455
Max Aarons,1,14.672036,-35.208664
Rodrigo Abajas,1,-23.204445,30.652292
James Abankwah,1,26.730427,6.782618
Keyliane Abdallah,1,-9.739126,-24.70986
Yunis Abdelhamid,0,45.370663,10.56036
Himad Abdelli,1,-7.974553,0.118800804
Mohamed Abdelmoneim,0,48.209274,13.508564
Ali Abdi,1,-34.435307,-24.27193
Saud Abdulhamid,1,31.242836,29.78365
Abel,1,-32.31552,-16.423206
Nabil Aberdin,1,26.580875,30.40711
Oliver Abildgaard,0,47.627014,12.930273
Matthis Abline,1,-11.974405,-17.37024
Abner,1,30.118582,30.903095
Zakaria Aboukhlal,1,-33.073433,12.309536
Abdel Abqar,1,29.347736,-2.3195868
Tammy Abraham,1,10.883639,9.344415
Tammy Abraham,1,10.7306795,19.235958
Federico Accornero,1,9.449424,-7.499967
Francesco Acerbi,1,-19.336945,20.3032
Joshua Acheampong,1,11.349601,9.167314
Akor Adams,1,-38.521927,-13.368202
Akor Adams,1,-38.866165,-10.291941
Che Adams,1,6.17042,-19.699968
Tyler Adams,1,-7.054218,-15.932246
Junior Adamu,1,-30.800446,-4.683867
Tosin Adarabioyo,1,0.76136166,-9.293302
Martin Adeline,1,-13.506998,-12.238798
Karim Adeyemi,1,-49.117634,0.20424125
Simon Adingra,1,-14.656225,-33.09758
Amine Adli,1,5.206862,-41.961403
Yacine Adli,1,-15.680201,10.074146
Adrián,0,50.398468,9.921335
Adryelson,1,-28.057451,-17.30353
Vasilije Adžić,1,-47.252655,-0.32429555
Michel Aebischer,1,-45.997562,0.95038927
Oladapo Afolayan,1,8.254307,14.21283
Emmanuel Agbadou,1,-10.251283,-26.830582
Emmanuel Agbadou,0,43.73831,-6.202976
Asher Agbinone,1,-41.066868,-29.992817
Jeremy Agbonifo,1,-16.227337,26.244799
Julen Agirrezabala,1,-29.04567,-11.182209
Lucien Agoume,1,25.453764,31.15515
Felix Agu,1,-32.433353,26.68275
Álvaro Aguado,1,13.405688,14.734594
Lorenzo Aguado,1,-30.83687,-31.905869
Nayef Aguerd,1,-35.81946,12.747431
Ruben Aguilar,1,2.5085282,-1.1780529
Naouirou Ahamada,1,17.63365,-33.78056
Honest Ahanor,1,17.218594,9.6607485
Erik Ahlstrand,1,26.359913,-2.1565902
Jean-Eudes Aholou,1,24.696896,12.570573
Joseph Aidoo,1,13.890563,-5.637674
Joseph Aidoo,1,12.3433895,-11.23961
Ayman Aiki,1,20.919922,13.998166
Ola Aina,1,8.969486,-34.25609
Rayan Aït-Nouri,1,-25.661427,13.531772
Junior Ajayi,1,-18.014297,-4.3122077
Kristoffer Ajer,1,6.61767,-20.236763
Ludovic Ajorque,1,-11.597586,-4.510222
