L1,L2,L3,L4,L5,L6,L7,L8,Cluster,Player
-0.7661974,-0.57050115,0.08464248,-0.3502932,-0.16362402,-0.26673502,-0.7938739,0.601899,0,Max Aarons
-0.5451052,0.6243185,-1.4886045,-0.5734325,1.9279304,-0.80233335,0.9900056,-1.215079,2,Max Aarons
-0.3546406,-0.69516885,-0.115779765,-0.32593673,-0.3121317,-0.34599745,-0.7957721,0.5207466,0,Rodrigo Abajas
-0.4053202,0.7426164,-0.26842946,-0.16610819,0.96443725,-0.47896522,0.35840908,-0.18279439,1,James Abankwah
-0.23771873,0.25981727,-0.6601213,0.102361605,1.260052,0.14272605,-0.6808264,-0.39940387,1,Keyliane Abdallah
-0.16035976,1.1601526,0.28017962,0.2580796,1.1881948,-0.70887667,1.8241216,-0.52747774,2,Yunis Abdelhamid
-0.4263196,-0.08428343,-0.12567484,-0.28735816,0.46643573,0.050845668,-0.31340912,-0.0786176,0,Himad Abdelli
-0.31603813,1.055874,0.68382066,0.11140378,1.012603,-0.68050504,1.6039824,0.052635662,2,Mohamed Abdelmoneim
-1.198897,0.025913782,-0.3658184,-0.44789702,0.7267743,-0.46246588,-1.709729,-0.32448414,1,Ali Abdi
-0.02248314,0.792169,0.6029396,-0.19133757,0.4579457,-0.3577261,0.33959985,-0.08785347,0,Saud Abdulhamid
-1.1033025,-0.58247024,-0.30295298,-0.6921138,0.5612611,-0.3816404,-1.002547,-0.0635753,0,Abel
-0.77592945,0.33285177,0.9804618,-0.17624989,0.26075888,0.1420962,0.22807291,0.14231813,0,Nabil Aberdin
-0.51693755,0.8806535,0.57650644,-0.11016519,0.9521255,-1.0283265,1.6550541,0.033631317,2,Oliver Abildgaard
-0.16058208,0.40108225,-0.9811948,-0.3764376,0.7570172,0.041903257,-0.98481065,0.18409207,1,Matthis Abline
-0.043815747,0.72730577,0.58791524,-0.080256775,0.44157672,-0.28393984,0.17034048,-0.11118903,0,Abner
-1.1777529,-0.83146393,-0.05526658,-0.5952241,0.27130812,-0.5134207,-0.7413385,0.35700697,0,Zakaria Aboukhlal
0.15322828,1.3033217,0.2116943,-0.30514777,0.8376853,-0.21147333,1.2284694,-1.1874704,2,Abdel Abqar
-0.022175997,0.27540037,0.1312471,-0.25939372,0.54483736,0.2553448,0.5856945,-0.49487826,0,Tammy Abraham
-0.334804,-0.023748435,0.4135581,-0.29732826,0.42317355,0.24866526,0.6167542,-0.1899401,0,Tammy Abraham
-0.24309139,0.37631598,-0.23525769,-0.7831795,0.29951143,-0.22453454,0.111268215,-0.47672346,0,Federico Accornero
-0.75809634,-0.3301004,0.111174025,-0.5910392,0.05562909,0.14729153,-0.20822439,0.28865892,0,Francesco Acerbi
0.004981518,0.53419256,0.1649893,-0.06589398,0.6142812,0.010923237,0.41446117,-0.63748825,0,Joshua Acheampong
-1.3323243,-0.5243198,-0.039569713,-0.5534118,0.56339234,-0.2825857,-1.0851729,0.21247089,0,Akor Adams
-1.2737706,-0.43484208,-0.054655693,-0.74640626,0.52274346,-0.17153805,-0.76244503,0.068230234,0,Akor Adams
-0.9662224,0.5706334,-0.8087193,-0.9630311,1.105901,-0.034619108,-0.7307843,-0.72565466,1,Che Adams
0.20089597,0.1470289,-0.48607823,0.12515603,0.5911124,-0.5018878,-0.1810548,-0.20599726,1,Tyler Adams
-0.67780244,-0.6127466,-0.34571004,-0.2959272,0.4243284,-0.63408333,-0.6932283,0.09351457,0,Junior Adamu
-0.07164567,0.12334264,-0.3218809,-0.21482302,0.59520984,0.018667683,-0.10705902,-0.35702348,0,Tosin Adarabioyo
-0.4874909,0.24611053,-0.5761544,-0.37326324,0.66333324,-0.09759397,-0.6622156,0.18799517,1,Martin Adeline
