P_Cluster_0,P_Cluster_1,P_Cluster_2,P_Cluster_3,P_Cluster_4,Player,Cluster
2.0670392e-13,5.760993e-06,0.9999943,0.0,1.843699e-31,Max Aarons,4
0.0,0.0,0.0,0.99517155,0.004828356,Max Aarons,2
4.196653e-24,2.3258055e-08,1.0,0.0,0.0,Rodrigo Abajas,4
0.009357064,5.338377e-10,6.852229e-11,0.027882015,0.96276104,James Abankwah,1
6.733132e-36,0.025535777,7.71342e-14,0.9744642,5.700929e-19,Keyliane Abdallah,2
1.0701996e-21,0.0,0.0,2.8588122e-25,1.0,Yunis Abdelhamid,1
1.6863589e-07,0.00033603545,0.9996635,8.0413565e-07,6.805262e-11,Himad Abdelli,4
5.3575535e-14,0.0,0.0,0.0,1.0,Mohamed Abdelmoneim,1
0.0,1.0,8.6567136e-33,0.0,0.0,Ali Abdi,0
0.9985141,0.0,1.250097e-37,9.58e-43,0.0014859306,Saud Abdulhamid,3
0.0,1.0,6.026713e-11,2.4386952e-17,0.0,Abel,0
1.0,6.2e-44,0.0,0.0,1.9286657e-14,Nabil Aberdin,3
1.2506127e-21,0.0,0.0,1.694e-42,1.0,Oliver Abildgaard,1
0.0,1.0,4.2376015e-28,2.7006147e-10,0.0,Matthis Abline,0
0.99999905,0.0,0.0,0.0,9.194253e-07,Abner,3
0.0,0.9931211,0.0068790363,5.756077e-29,1.172347e-38,Zakaria Aboukhlal,0
3.5829424e-37,0.0,0.0,1.1492969e-08,1.0,Abdel Abqar,1
0.8213719,5.689484e-25,5.773758e-14,9.780993e-08,0.17862792,Tammy Abraham,3
0.99996567,4.133271e-19,9.5472025e-08,2.4480334e-18,3.4230794e-05,Tammy Abraham,3
0.0052298275,2.3636235e-10,2.617416e-06,0.9947676,4.4789248e-13,Federico Accornero,4
9.64811e-07,1.3641693e-06,0.99999815,1.3097796e-16,1.5292509e-15,Francesco Acerbi,4
0.99729335,8.1633516e-23,1.3340703e-15,1.3538858e-07,0.0027063326,Joshua Acheampong,3
7.5061286e-31,0.9999886,1.1212499e-05,8.2924245e-35,0.0,Akor Adams,0
2.7360643e-20,0.9971046,0.0028952502,3.8309034e-13,5.3067e-40,Akor Adams,4
0.0,0.7249881,0.0,0.27501166,4.2218656e-30,Che Adams,0
2.9000137e-13,3.500655e-05,0.9999623,2.5386146e-06,5.0263245e-11,Tyler Adams,4
0.0,1.0,1.7335621e-08,6.8476593e-25,3.196752e-24,Junior Adamu,0
3.0541784e-07,0.00011562152,0.99233615,0.007547816,8.375196e-08,Tosin Adarabioyo,4
4.428595e-16,0.9998899,0.000110350295,1.2451365e-09,1.3063173e-15,Martin Adeline,0
0.0,1.0,1.5504803e-14,8.839438e-35,0.0,Karim Adeyemi,4
0.0,5.739324e-05,0.0,0.9999427,6.1626755e-32,Simon Adingra,2
0.0,0.0,0.0,1.0,0.0,Amine Adli,2
3.6232293e-06,3.787024e-05,0.999958,3.3604573e-17,6.2747913e-15,Yacine Adli,4
3.7904218e-38,0.0,0.0,0.0,1.0,Adrián,1
0.0,1.0,0.0,1.0392324e-23,0.0,Adryelson,0
3e-45,1.0,2.6685926e-13,1.5380057e-34,0.0,Vasilije Adžić,4
0.0,1.0,7.9677656e-17,3.785351e-30,0.0,Michel Aebischer,4
0.9866404,1.518236e-30,0.013359776,5.5591793e-22,1.14587844e-11,Oladapo Afolayan,3
4.2e-44,3.8140333e-05,2.2740165e-09,0.99996185,2.281251e-08,Emmanuel Agbadou,2
