P_C0,P_C1,P_C2,P_C3,P_C4,P_C5,P_C6,P_C7,Player,Cluster
6.1547616e-12,0.0,0.0,1.2853108e-28,0.0,0.0,0.0,1.0,Yunis Abdelhamid,7
0.0,0.0,0.0012802647,0.0,0.0,0.0,0.9987199,0.0,Himad Abdelli,6
0.00030308083,0.0,0.0,2.9520293e-15,0.0,0.0,0.0,0.99969673,Mohamed Abdelmoneim,7
0.0,0.0,1.0,1.1235476e-34,1.5741444e-16,7.1315666e-30,6.413532e-22,0.0,Ali Abdi,2
0.0,6.6142997e-20,7.814733e-38,0.0014319891,0.0,0.0,0.9985676,0.0,Abel,6
0.0,0.0,1.6599583e-05,0.0,0.9999829,0.0,0.0,0.0,Matthis Abline,4
0.36952853,1.2583114e-15,0.0,0.6304708,0.0,0.0,5.556115e-26,6.9137566e-16,Abner,3
0.0,0.0,1.4574914e-37,0.0,1.0,8.109703e-34,0.0,0.0,Zakaria Aboukhlal,4
0.0,1.0,0.0,3.074392e-24,0.0,0.0,0.0,2.8507107e-32,Abdel Abqar,1
0.0,0.0,6.2636056e-13,0.0,4.9166374e-07,0.99999905,0.0,0.0,Tammy Abraham,5
0.0,1.0,0.0,1.0476694e-11,0.0,0.0,0.0,1.8043741e-15,Francesco Acerbi,1
0.0,0.0,1.351799e-32,0.0,7.9106435e-33,1.0,0.0,0.0,Akor Adams,5
0.0,0.0,1.4308176e-22,0.0,1.0,0.0,0.0,0.0,Che Adams,4
0.0,2.3980729e-09,0.0,1.8543247e-05,0.0,0.0,0.9999814,0.0,Tyler Adams,6
0.0,0.0,8.7749845e-16,0.0,3.7057953e-16,1.0,0.0,0.0,Junior Adamu,5
0.0,8.385129e-10,0.0,1.44e-43,0.0,0.0,0.0,1.0,Tosin Adarabioyo,7
0.0,0.0,1.0,0.0,2.087212e-21,0.0,0.0,0.0,Karim Adeyemi,2
0.0,0.0,0.72547776,4.952856e-22,1.3382813e-29,0.27452257,3.7745777e-31,0.0,Simon Adingra,2
0.0,0.0,7.913271e-10,4.984262e-22,8.891159e-25,1.0,0.0,0.0,Amine Adli,5
0.0,0.0,0.99964815,5.322592e-12,0.0,1.0869615e-21,0.00035180512,0.0,Yacine Adli,2
0.99995613,0.0,0.0,2.3788527e-24,0.0,0.0,0.0,4.4030825e-05,Michel Aebischer,0
0.0,0.0,0.99999905,1.3941048e-30,1.1384583e-11,5.08345e-07,6.067965e-32,0.0,Oladapo Afolayan,2
0.0,1.2292414e-09,0.0,2.89e-43,0.0,0.0,0.0,1.0,Emmanuel Agbadou,7
0.0,4.761485e-07,0.0,2.37939e-30,0.0,0.0,0.0,1.0,Emmanuel Agbadou,7
0.0,3.8740192e-10,0.0,3.4055915e-14,0.0,0.0,1.0,0.0,Lucien Agoume,6
2.079935e-25,0.0,1.0791002e-12,0.99996567,0.0,1.29412245e-20,3.5184406e-05,0.0,Felix Agu,3
0.0,0.99989885,0.0,0.00010152836,0.0,0.0,1.5247484e-37,1.0189813e-36,Nayef Aguerd,1
8.2096195e-34,0.0,1.8870103e-09,0.99845815,0.0,7.181038e-21,0.0015412162,0.0,Ruben Aguilar,3
0.0,1.4169987e-06,0.0,0.9979793,0.0,0.0,0.0020191115,0.0,Jean-Eudes Aholou,3
7.336e-42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Joseph Aidoo,7
0.0,8.1547186e-11,0.0,2.4106475e-07,0.0,0.0,1.0,0.0,Ola Aina,6
0.0,0.0,1.1119596e-32,0.0,0.0,0.0,1.0,0.0,Rayan Aït-Nouri,6
4.6312034e-06,1.240132e-37,0.0,1.0281655e-05,0.0,0.0,3.2088524e-36,0.99998474,Kristoffer Ajer,7
0.0,0.0,8e-45,0.0,1.0,0.0,0.0,0.0,Ludovic Ajorque,4
0.0,1.0,0.0,1.9043032e-36,0.0,0.0,0.0,0.0,Manuel Akanji,1
2.5022838e-34,1e-45,0.0,0.0,0.0,0.0,0.0,1.0,Ümit Akdag,7
3.3625553e-35,3.4e-43,0.0,0.0,0.0,0.0,0.0,1.0,Nathan Aké,7
6.6040277e-12,0.0,1.0188181e-36,4.6016174e-10,0.0,1.0,6.482172e-32,0.0,Ilias Akhomach,5
0.0,4.1849812e-32,1.1917132e-23,0.0078056073,0.0,0.0,0.9921943,0.0,Sergio Akieme,6
0.0,0.0,1.0,0.0,0.0,0.0,5.1987326e-37,0.0,Maghnes Akliouche,2
0.0,0.9999943,0.0,5.9146496e-06,0.0,0.0,4.3718063e-18,0.0,Clément Akpa,1
1.0,0.0,0.0,6.033093e-16,0.0,0.0,0.0,1.3490022e-13,Jean-Daniel Akpa-Akpro,0
0.0,1.0,0.0,1.1178586e-17,0.0,0.0,3.124522e-32,0.0,Kevin Akpoguma,1
0.0,0.0,1.63e-43,0.0,1e-45,1.0,0.0,0.0,Chuba Akpom,5
5.20664e-19,0.0,0.0,4.46839e-40,0.0,0.0,0.0,1.0,Raúl Albiol,7
1.4278359e-36,0.0,2.1689163e-14,2.1346378e-15,4.16709e-33,1.0,1.0164134e-32,0.0,Carlos Alcaraz,5
0.0,1.0,0.0,9.1810576e-33,0.0,0.0,5.61381e-40,0.0,Omar Alderete,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.512342e-22,Carles Aleñá,0
0.8734291,0.0,7.337045e-28,0.00034764333,0.0,0.12622409,7.469335e-17,0.0,Carles Aleñá,0
0.0,0.0,9.79223e-38,0.0,0.0,0.0,1.0,0.0,Trent Alexander-Arnold,6
0.0,0.0,1.0,0.0,1.92957e-11,1.3430716e-24,0.0,0.0,Alfon,2
0.0,0.0,1.0,0.0,0.0,0.0,1.0304299e-37,0.0,Mohamed Ali Cho,2
0.0,0.0,1.0,8.978519e-24,1.7864907e-12,3.478721e-10,2.362328e-34,0.0,Jim Allevinah,2
0.0,0.0,0.9972154,3.3367772e-23,0.0,1.9982359e-22,0.002784769,0.0,Thiago Almada,2
0.0,0.0,2.0378945e-09,1.7198522e-11,0.0,0.0,1.0,0.0,Domingos André Ribeiro Almeida,6
4.514028e-24,0.0,1.1138766e-13,5.2771637e-12,1.08e-42,1.0,0.0,0.0,Pontus Almqvist,5
0.0,1.0,0.0,3.3303873e-19,0.0,0.0,2.3488165e-07,0.0,Marcos Alonso,1
4.430171e-29,5.2383414e-32,0.0,0.0,0.0,0.0,0.0,1.0,Giorgio Altare,7
2.9020103e-10,1.3175e-41,0.0,1.0,0.0,0.0,3.273031e-19,0.0,Adrià Altimira,3
0.0,0.9895248,0.0,8.470102e-09,0.0,0.0,0.010475433,0.0,Sergi Altimira,1
2.8559101e-34,0.1757821,0.0,0.82421875,0.0,0.0,1.6695806e-09,0.0,Edson Álvarez,3
0.0,0.0,1.0,2.4047698e-20,4.2434295e-26,4.6493168e-30,5.952992e-14,0.0,Hugo Álvarez,2
0.0,0.0,2.570152e-13,0.0,1.0,0.0,0.0,0.0,Julián Álvarez,4
0.0,1.0,0.0,1.3439316e-18,0.0,0.0,0.0,4.59187e-13,Yeray Álvarez,1
0.0,0.0,0.0007642987,3.2534901e-06,2.491167e-13,0.99923265,1.6030161e-35,0.0,Selim Amallah,5
0.99998474,0.0,0.0,5.9054376e-18,0.0,0.0,0.0,1.6208945e-05,Jordan Amavi,0
0.0,0.13705102,0.0,0.86279243,0.0,0.0,0.00015666748,0.0,Kelvin Amian,3
0.0,1.4347941e-18,0.0,4.4524784e-09,0.0,0.0,1.0,0.0,Michael Amir Murillo,6
0.0,0.0,0.9981359,0.0,0.0,0.0,0.0018639613,0.0,Nadiem Amiri,2
1.0,0.0,0.0,8.1286005e-18,0.0,2.2734224e-28,0.0,0.0,Mathis Amougou,0
0.0,0.0,1.0,0.0,1.5896705e-13,0.0,0.0,0.0,Mohamed Amoura,2
0.0,1.0,0.0,1.1286e-41,0.0,0.0,0.0,0.0,Joachim Andersen,1
0.0,0.0,0.0,1.9361071e-29,0.0,0.0,1.0,0.0,Elliot Anderson,6
0.0,0.20616756,0.0,7.670447e-18,0.0,0.0,0.79383224,0.0,André,6
0.0,3.69e-43,0.0,1.4137224e-29,0.0,0.0,1.0,0.0,Benjamin André,6
6.069829e-28,0.0,4e-45,4.3934194e-27,0.0,1.0,0.0,0.0,Marcos André,5
