mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,Cluster,GMM_Confidence,Recon_Error,Player
0.17975408,-0.0039523393,-0.11469717,-0.1102108,0.96355927,0.2788482,-0.14075102,0.08901058,0.13005182,1.4889067,0.24825075,-0.4876589,0.1623815,-0.4348428,0.2165556,-0.079061545,7,1.0,0.06527555,Yunis Abdelhamid
0.65802467,-0.070637725,-0.1801349,0.031058788,-0.5996832,0.24286988,0.2287658,0.7638957,0.8567352,-2.6034021,-0.14531073,0.65311956,0.43532428,0.31213352,-0.18681887,0.15420797,6,0.9987199,0.2797753,Himad Abdelli
-0.04098867,0.2712106,0.0033831596,-0.09505089,0.81155723,0.38856634,-0.11859611,-0.014238298,0.19193625,1.3301691,0.070877135,-0.60933816,0.1204137,-0.31619978,0.03721544,-0.09504444,7,0.99969673,0.1438985,Mohamed Abdelmoneim
-0.34870082,-0.3833397,-0.11593489,-0.05071414,-0.83147,-0.21254715,0.06260733,0.030816924,-0.16917863,-0.8806126,-0.10152416,0.5252183,-0.28930286,0.24070004,-0.0827464,0.074640125,2,1.0,0.11507748,Ali Abdi
0.3864168,0.8134861,0.24250469,-0.17174129,0.33006394,0.5373878,-0.12130788,0.047170054,0.5664163,-0.7227259,-0.17587484,-0.3882941,-0.15357444,-0.096300125,-0.29444346,-0.15994358,6,0.9985676,0.14355619,Abel
-0.7195221,-1.1389865,-0.48085868,0.43341088,-1.6288037,-1.0305847,0.44558412,0.0018599024,-0.6698647,-1.0518807,-0.098627076,1.2079059,-0.096926056,0.501395,-0.09852521,-0.07586663,4,0.9999829,0.13941646,Matthis Abline
0.19395715,0.10638818,0.114122465,-0.14245808,0.53112465,0.20424202,-0.11699858,0.054900784,0.0021808594,0.48877463,0.22778401,-0.1707301,-0.070521995,-0.23861054,0.07438566,0.024367154,3,0.6304708,0.053145804,Abner
-1.0049645,-1.0357913,-1.0756189,0.10388347,-1.949732,-1.1006908,0.6388844,0.33884758,-0.85908777,-0.22689414,-0.31307203,1.5336301,-0.5351352,0.58333534,0.24406636,0.0020167455,4,1.0,0.12229806,Zakaria Aboukhlal
1.4516584,0.786645,-0.16705115,0.14396998,1.642004,0.7009865,-0.159942,0.41738573,1.0566875,0.22034922,0.09417525,-0.2839362,0.6880694,-0.11255183,0.04194659,0.15884231,1,1.0,0.1525373,Abdel Abqar
-1.0283628,-0.7432491,-0.6044078,-0.13132337,-1.2716751,-0.7298325,0.41988677,-0.090855524,-0.89542824,0.3316586,-0.16402046,0.8559389,-0.5957654,0.36246687,0.14619973,0.22447085,5,0.99999905,0.1742054,Tammy Abraham
1.2732744,0.3289516,-0.15780403,0.21179578,1.5223861,0.50147164,-0.20734875,0.36811018,0.76160985,0.55796903,0.25765958,-0.24068956,0.6618388,-0.23661163,0.22689378,0.004165426,1,1.0,0.0823553,Francesco Acerbi
-0.8393935,-0.7498757,-0.63257027,-0.23164856,-0.8901957,-0.68381125,0.30199045,0.021242943,-0.9069731,1.1267488,-0.052408464,0.93843466,-0.80794615,0.1709984,0.29859444,0.12821366,5,1.0,0.09876551,Akor Adams
-0.8714026,-1.1569784,-0.99438214,0.15285292,-1.8081697,-1.0279183,0.61723506,0.29438654,-0.7792641,-0.46393067,-0.24057968,1.4427443,-0.36818382,0.64034647,0.17357737,0.11784786,4,1.0,0.08098808,Che Adams
0.04762112,1.2958928,-0.03553337,-0.388441,0.40531462,0.8513886,-0.012434885,0.1251713,0.8405458,-0.7203644,-0.25103837,-0.8705956,-0.3604013,0.11844075,-0.064111054,-0.22663817,6,0.9999814,0.28812373,Tyler Adams
-0.9296495,-0.55854326,-0.42819148,-0.14312005,-1.1563104,-0.73402834,0.35495365,-0.19051184,-0.7912587,0.386768,-0.21604688,0.83174115,-0.62714756,0.31981993,0.058233544,0.10376557,5,1.0,0.16033807,Junior Adamu
0.92627597,0.060575306,-0.1982535,0.07815678,1.4657862,0.33620164,-0.28158128,0.3579153,0.4980439,1.0493026,0.4245155,-0.317685,0.5420026,-0.46110088,0.36460733,0.023215927,7,1.0,0.079057515,Tosin Adarabioyo
