Player,Cluster,tSNE_1,tSNE_2,UMAP_1,UMAP_2
Yunis Abdelhamid,7,26.512732,19.960983,10.297659,6.802847
Himad Abdelli,6,-0.8390927,-40.174206,5.1452804,0.6147994
Mohamed Abdelmoneim,7,14.895888,10.633389,8.46254,6.119468
Ali Abdi,2,-23.468155,-4.045861,2.7463794,4.725201
Abel,6,6.733811,-20.187403,6.959755,2.3431928
Matthis Abline,4,-40.12789,-0.82287395,0.67102665,5.058186
Abner,3,5.960165,4.1591897,7.831582,5.5992923
Zakaria Aboukhlal,4,-43.899685,4.9998918,0.0048105884,5.820345
Abdel Abqar,1,40.161842,-3.7396538,11.610289,2.781693
Tammy Abraham,5,-35.7316,10.99879,1.4372876,6.7921805
Francesco Acerbi,1,38.23473,2.55162,11.561739,3.896716
Akor Adams,5,-34.57724,19.160694,1.7412369,8.0250225
Che Adams,4,-43.247307,3.6855102,0.042275246,5.668402
Tyler Adams,6,12.057853,-22.151512,7.387935,1.9749844
Junior Adamu,5,-34.29865,11.295809,1.5850261,6.7722445
Tosin Adarabioyo,7,36.11975,9.219282,11.627658,4.728797
Karim Adeyemi,2,-29.15012,-13.323539,2.046035,3.72998
Simon Adingra,2,-18.98853,1.6493602,3.4387326,5.188432
Amine Adli,5,-21.135347,15.961303,3.3808768,7.134518
Yacine Adli,2,-12.463149,-11.193895,4.2295547,3.6459334
Michel Aebischer,0,13.224315,26.487015,8.71795,7.804777
Oladapo Afolayan,2,-20.739466,0.9317685,3.2177944,5.21787
Emmanuel Agbadou,7,37.37394,7.717852,11.673733,4.5304456
Emmanuel Agbadou,7,35.68179,8.346317,11.4875555,4.6822877
Lucien Agoume,6,14.196625,-23.06635,7.1461544,1.4323095
Felix Agu,3,-3.3200252,-2.3587263,5.7219653,4.344678
Nayef Aguerd,1,36.09593,-2.1149461,11.140797,3.1493006
Ruben Aguilar,3,-3.3628151,-1.1932688,5.7492805,4.520239
Jean-Eudes Aholou,3,13.528991,-8.0787115,7.7541275,3.1930518
Joseph Aidoo,7,39.20986,19.561792,12.3157425,6.262211
Ola Aina,6,8.635504,-26.484043,6.900381,1.4604766
Rayan Aït-Nouri,6,-2.3641121,-32.542118,5.629555,1.122985
Kristoffer Ajer,7,14.223224,13.725158,8.357775,5.9909515
Ludovic Ajorque,4,-45.095062,1.8052975,-0.17372026,5.36321
Manuel Akanji,1,44.752544,-2.101901,12.153253,2.8722382
Ümit Akdag,7,37.228935,20.860252,12.150709,6.3946486
Nathan Aké,7,38.49475,19.075232,12.3065195,6.1956677
Ilias Akhomach,5,-14.393788,19.111797,4.5326605,7.525162
Sergio Akieme,6,3.099338,-18.723557,6.4087267,2.4450107
Maghnes Akliouche,2,-35.43607,-24.37454,1.2309961,2.5317225
Clément Akpa,1,31.751997,-10.801189,10.539759,2.2341957
Jean-Daniel Akpa-Akpro,0,7.1838007,21.439573,7.8079705,7.2220473
Kevin Akpoguma,1,36.383804,-6.449992,11.044696,2.5972626
Chuba Akpom,5,-34.528984,20.071247,1.7366244,8.084325
Raúl Albiol,7,28.962742,18.181574,10.554534,6.397096
Carlos Alcaraz,5,-18.321693,15.674689,3.9741545,6.9819255
Omar Alderete,1,42.727947,-11.8976345,12.047523,1.5268306
Carles Aleñá,0,18.821802,30.93872,9.252664,8.266751
Carles Aleñá,0,-8.398408,13.480265,5.546829,6.780642
Trent Alexander-Arnold,6,-6.8054895,-32.237568,5.065157,1.1695769
Alfon,2,-30.207329,-2.584549,2.341068,5.0149155
Mohamed Ali Cho,2,-25.034046,-13.917923,2.5949879,3.553418
Jim Allevinah,2,-25.20035,1.3798846,2.7275057,5.551992
Thiago Almada,2,-15.275309,-7.2120376,3.8987446,4.1596293
