oyuncu,benzer_oyuncu,sira,benzerlik_yuzde,som_cluster,benzer_oyuncu_som_cluster
Yunis Abdelhamid,Luke Woolfenden,1,97.14,0-3,0-3
Yunis Abdelhamid,Fernando Calero,2,97.08,0-3,0-3
Yunis Abdelhamid,Cenk Özkacar,3,97.06,0-3,0-3
Yunis Abdelhamid,Juanpe,4,96.0,0-3,0-3
Yunis Abdelhamid,Jon Pacheco,5,94.83,0-3,0-3
Himad Abdelli,Simon Sohm,1,93.26,8-9,4-7
Himad Abdelli,Aimar Oroz,2,92.58,8-9,8-9
Himad Abdelli,Tijjani Reijnders,3,91.5,8-9,11-9
Himad Abdelli,Bernardo Silva,4,90.14,8-9,8-10
Himad Abdelli,Andy Diouf,5,88.37,8-9,7-8
Mohamed Abdelmoneim,Reinildo Mandava,1,93.66,0-2,0-2
Mohamed Abdelmoneim,Danilo D'Ambrosio,2,91.49,0-2,0-2
Mohamed Abdelmoneim,Mikayil Ngor Faye,3,90.34,0-2,0-2
Mohamed Abdelmoneim,Craig Dawson,4,89.71,0-2,0-2
Mohamed Abdelmoneim,Adam Webster,5,88.43,0-2,0-2
Ali Abdi,Mikel Merino,1,92.47,10-3,11-3
Ali Abdi,Hamed Junior Traorè,2,90.41,10-3,10-7
Ali Abdi,Dango Ouattara,3,89.94,10-3,10-8
Ali Abdi,Jens Stage,4,89.83,10-3,11-3
Ali Abdi,Tiago Tomás,5,89.63,10-3,10-3
Abel,Kilian Fischer,1,92.57,5-9,5-9
Abel,Dennis Appiah,2,91.04,5-9,5-10
Abel,Adrià Pedrosa,3,90.59,5-9,5-9
Abel,Loïc Nego,4,89.84,5-9,5-9
Abel,Ola Aina,5,89.06,5-9,5-9
Matthis Abline,Loïs Openda,1,96.51,10-7,10-7
Matthis Abline,Keito Nakamura,2,95.81,10-7,10-7
Matthis Abline,Dany Mota,3,95.42,10-7,10-3
Matthis Abline,Liam Delap,4,95.14,10-7,11-4
Matthis Abline,Marcus Thuram,5,95.06,10-7,10-6
Abner,Ricardo Rodríguez,1,70.7,2-5,2-5
Abner,Myles Lewis-Skelly,2,66.12,2-5,2-5
Abner,Max Rosenfelder,3,62.01,2-5,1-4
Abner,Reda Belahyane,4,61.64,2-5,2-7
Abner,Josip Stanišić,5,58.41,2-5,1-6
Zakaria Aboukhlal,Roberto Piccoli,1,97.6,10-4,10-5
Zakaria Aboukhlal,Thierno Barry,2,96.72,10-4,10-5
Zakaria Aboukhlal,Dušan Vlahović,3,96.41,10-4,10-5
Zakaria Aboukhlal,Isaac Romero,4,96.24,10-4,9-4
Zakaria Aboukhlal,Dominic Solanke,5,95.95,10-4,10-5
Abdel Abqar,Sergi,1,94.21,0-8,1-11
Abdel Abqar,Cédric Kipré,2,92.93,0-8,1-11
Abdel Abqar,Jan Bednarek,3,92.15,0-8,1-11
Abdel Abqar,Joseph Okumu,4,92.04,0-8,0-8
Abdel Abqar,Tuta,5,91.94,0-8,1-11
Tammy Abraham,Isaac Romero,1,93.17,9-4,9-4
Tammy Abraham,Eldor Shomurodov,2,92.65,9-4,7-4
Tammy Abraham,Joshua Zirkzee,3,92.42,9-4,8-3
Tammy Abraham,Junior Adamu,4,91.02,9-4,9-4
Tammy Abraham,Darwin Núñez,5,90.79,9-4,9-4
Francesco Acerbi,Carl Starfelt,1,95.75,1-8,0-8
Francesco Acerbi,Igor Zubeldia,2,93.45,1-8,2-11
Francesco Acerbi,Anthony Jung,3,92.88,1-8,1-8
Francesco Acerbi,Malick Thiaw,4,92.69,1-8,1-8
Francesco Acerbi,Pablo Marí,5,92.61,1-8,0-8
Akor Adams,Juanmi Latasa,1,97.49,8-4,8-4
Akor Adams,Nelson Weiper,2,95.85,8-4,8-4
Akor Adams,Chuba Akpom,3,95.34,8-4,8-4
Akor Adams,Diego,4,93.37,8-4,8-3
Akor Adams,Lukas Nmecha,5,92.89,8-4,8-4
Che Adams,Artem Dovbyk,1,98.65,10-4,10-5
Che Adams,Kai Havertz,2,97.55,10-4,10-5
Che Adams,Borja Iglesias,3,97.51,10-4,10-5
Che Adams,Santiago Castro,4,97.41,10-4,9-6
Che Adams,Ollie Watkins,5,97.19,10-4,11-5
Tyler Adams,Nicolás Domínguez,1,93.38,4-10,4-10
Tyler Adams,Idrissa Gana Gueye,2,89.9,4-10,5-11
Tyler Adams,Jon Aramburu,3,89.67,4-10,4-10
Tyler Adams,Elisha Owusu,4,89.02,4-10,4-10
Tyler Adams,Wilfred Ndidi,5,87.94,4-10,4-10
Junior Adamu,Isaac Romero,1,93.22,9-4,9-4
Junior Adamu,Joshua Zirkzee,2,93.02,9-4,8-3
Junior Adamu,Dominic Calvert-Lewin,3,91.95,9-4,9-4
Junior Adamu,Tammy Abraham,4,91.02,9-4,9-4
Junior Adamu,Mattias Svanberg,5,90.77,9-4,8-2
Tosin Adarabioyo,Raúl Asencio,1,92.77,0-4,0-4
Tosin Adarabioyo,Eric Dier,2,92.4,0-4,1-8
Tosin Adarabioyo,Emmanuel Agbadou,3,91.79,0-4,1-7
Tosin Adarabioyo,Carlos Dominguez,4,91.56,0-4,0-4
Tosin Adarabioyo,Malick Thiaw,5,91.14,0-4,1-8
Karim Adeyemi,Serge Gnabry,1,94.81,8-7,9-6
Karim Adeyemi,Lassine Sinayoko,2,93.25,8-7,8-7
Karim Adeyemi,Vinicius Júnior,3,92.99,8-7,11-10
Karim Adeyemi,Bukayo Saka,4,92.98,8-7,10-10
Karim Adeyemi,Bradley Barcola,5,92.84,8-7,11-11
Simon Adingra,Samuel Chukwueze,1,91.47,6-6,7-5
Simon Adingra,David Neres,2,90.57,6-6,7-6
Simon Adingra,Ernest Nuamah,3,90.44,6-6,6-4
Simon Adingra,Badredine Bouanani,4,88.68,6-6,6-5
Simon Adingra,Francisco Conceição,5,88.29,6-6,7-6
Amine Adli,Loum Tchaouna,1,88.33,6-4,5-2
Amine Adli,Rémy Labeau Lascary,2,87.63,6-4,5-1
Amine Adli,Justin Njinmah,3,87.61,6-4,7-4
Amine Adli,Keinan Davis,4,86.49,6-4,6-4
Amine Adli,Augustine Boakye,5,85.91,6-4,6-4
Yacine Adli,Maxence Caqueret,1,79.62,4-6,3-5
Yacine Adli,Hakan Çalhanoğlu,2,76.49,4-6,8-10
Yacine Adli,Jean-Ricner Bellegarde,3,74.77,4-6,6-7
Yacine Adli,James Maddison,4,73.56,4-6,9-7
Yacine Adli,Dwight McNeil,5,72.93,4-6,5-6
Michel Aebischer,João Palhinha,1,93.73,2-3,2-3
Michel Aebischer,William Carvalho,2,90.77,2-3,2-3
Michel Aebischer,Cheick Doucouré,3,88.07,2-3,2-2
Michel Aebischer,Jonas Martin,4,87.87,2-3,2-3
Michel Aebischer,Dennis Geiger,5,87.74,2-3,2-3
Oladapo Afolayan,Alfon,1,89.79,6-5,7-6
Oladapo Afolayan,Marius Bülter,2,88.95,6-5,8-6
Oladapo Afolayan,Farid El Melali,3,88.52,6-5,7-6
Oladapo Afolayan,Matias Fernandez-Pardo,4,87.77,6-5,6-5
Oladapo Afolayan,Karim Adeyemi,5,87.51,6-5,8-7
Emmanuel Agbadou,Javi Sánchez,1,95.71,1-7,0-8
Emmanuel Agbadou,Copete,2,94.31,1-7,0-8
Emmanuel Agbadou,Fali Candé,3,94.31,1-7,1-7
Emmanuel Agbadou,Scott McKenna,4,93.91,1-7,0-8
Emmanuel Agbadou,Nathan Zeze,5,93.54,1-7,0-8
Lucien Agoume,Azor Matusiwa,1,94.73,3-8,3-8
Lucien Agoume,Lewis Cook,2,92.95,3-8,5-11
Lucien Agoume,Antonio Blanco,3,91.95,3-8,3-9
Lucien Agoume,Ondrej Duda,4,91.5,3-8,4-8
Lucien Agoume,Nicolò Rovella,5,90.74,3-8,5-11
Felix Agu,Josha Vagnoman,1,84.41,8-1,8-1
Felix Agu,Romain Perraud,2,70.81,8-1,10-1
Felix Agu,Lukas Kübler,3,69.27,8-1,11-1
Felix Agu,Valentin Gendrey,4,69.12,8-1,8-1
Felix Agu,Manolis Saliakas,5,68.11,8-1,5-8
Nayef Aguerd,Federico Gatti,1,93.25,1-9,1-9
Nayef Aguerd,Robin Le Normand,2,90.54,1-9,1-9
Nayef Aguerd,Antonio Rüdiger,3,87.81,1-9,1-9
Nayef Aguerd,Ibrahima Konaté,4,87.58,1-9,3-11
Nayef Aguerd,Ezri Konsa,5,87.54,1-9,1-9
Ruben Aguilar,Sergio Carreira,1,83.75,3-5,5-7
Ruben Aguilar,Phillipp Mwene,2,81.42,3-5,6-9
Ruben Aguilar,Miguel Gutiérrez,3,79.95,3-5,7-9
Ruben Aguilar,Óscar Mingueza,4,79.5,3-5,8-11
Ruben Aguilar,Matheus Nunes,5,79.45,3-5,7-9
Jean-Eudes Aholou,Morten Frendrup,1,92.77,9-0,4-10
Jean-Eudes Aholou,Beñat Prados,2,91.4,9-0,9-0
Jean-Eudes Aholou,Rani Khedira,3,87.19,9-0,4-10
Jean-Eudes Aholou,Valentin Atangana Edoa,4,86.86,9-0,4-10
Jean-Eudes Aholou,Nicolás Domínguez,5,86.2,9-0,4-10
Joseph Aidoo,Tanguy Nianzou,1,99.59,0-6,0-6
Joseph Aidoo,Eric Bailly,2,99.22,0-6,0-6
Joseph Aidoo,Tomás Palacios,3,98.81,0-6,0-6
Joseph Aidoo,Diego Carlos,4,98.43,0-6,0-6
Joseph Aidoo,Nikola Maksimović,5,98.4,0-6,0-6
Ola Aina,Adrià Pedrosa,1,93.62,5-9,5-9
Ola Aina,Dennis Appiah,2,92.32,5-9,5-10
Ola Aina,Frederic Guilbert,3,92.32,5-9,5-10
Ola Aina,Kilian Fischer,4,92.19,5-9,5-9
Ola Aina,Florent Hanin,5,91.66,5-9,5-10
Rayan Aït-Nouri,Marcos Llorente,1,94.87,6-11,6-10
Rayan Aït-Nouri,Elliot Anderson,2,93.06,6-11,6-11
Rayan Aït-Nouri,Daniel Muñoz,3,92.38,6-11,6-11
Rayan Aït-Nouri,Mateus Fernandes,4,92.3,6-11,7-11
Rayan Aït-Nouri,Andrei Ratiu,5,92.07,6-11,7-10
Kristoffer Ajer,Jesus Vazquez,1,76.01,7-0,7-0
Kristoffer Ajer,Adam Smith,2,74.4,7-0,7-0
Kristoffer Ajer,David Torres,3,72.28,7-0,0-3
Kristoffer Ajer,Domingos Duarte,4,72.25,7-0,11-0
Kristoffer Ajer,Paweł Dawidowicz,5,71.94,7-0,1-4
Ludovic Ajorque,Jean-Philippe Mateta,1,97.77,11-4,11-5
Ludovic Ajorque,Jonathan Burkardt,2,97.52,11-4,11-5
Ludovic Ajorque,Erling Haaland,3,97.27,11-4,11-6
Ludovic Ajorque,Mateo Retegui,4,97.15,11-4,11-6
