Player,Gls,Ast,xG,xAG,npxG,Sh/90,Cmp%,PrgP,KP,PPA,SCA90,Tkl,TklW,Int,Clr,PrgC,PrgR,Succ%,Carries,Touches,som_x,som_y,som_cluster
Yunis Abdelhamid,0,0,0.2,0.1,0.2,0.17,86.7,22,2,0,0.55,17,11,14,57,4,3,42.9,322,641,0,3,0-3
Himad Abdelli,6,1,6.4,3.2,3.2,1.11,82.1,207,39,38,2.98,48,32,26,28,107,111,47.1,1183,1993,8,9,8-9
Mohamed Abdelmoneim,0,0,0.0,0.0,0.0,0.0,90.4,52,0,1,0.84,21,14,15,56,6,5,25.0,342,635,0,2,0-2
Ali Abdi,5,2,4.3,1.9,4.3,1.87,74.0,42,20,21,2.91,43,25,20,37,35,101,41.4,391,886,10,3,10-3
Abel,2,0,0.5,1.0,0.5,0.52,72.5,77,16,18,1.69,61,37,18,64,50,92,51.4,605,1322,5,9,5-9
Matthis Abline,9,2,8.5,3.8,7.7,2.37,65.2,48,27,15,1.98,11,5,4,36,75,169,40.7,587,878,10,7,10-7
Abner,1,1,0.6,1.1,0.6,0.58,84.1,66,11,11,2.06,29,20,5,41,31,55,50.0,426,791,2,5,2-5
Zakaria Aboukhlal,7,2,10.2,1.6,8.6,2.94,63.3,22,12,10,1.61,22,13,6,9,34,164,30.2,375,613,10,4,10-4
Abdel Abqar,0,1,0.9,0.3,0.9,0.44,76.6,79,8,10,0.91,36,23,39,146,16,4,75.0,632,1251,0,8,0-8
Tammy Abraham,3,4,7.1,2.2,5.4,1.98,68.8,26,14,10,2.51,17,11,2,16,8,69,28.6,158,367,9,4,9-4
Francesco Acerbi,0,1,0.4,0.6,0.4,0.26,92.5,62,9,8,1.05,23,19,26,81,19,22,75.0,915,1484,1,8,1-8
Akor Adams,3,1,4.3,1.0,4.3,2.18,62.6,6,12,0,2.09,4,3,1,5,11,45,50.0,126,251,8,4,8-4
Che Adams,9,3,9.0,2.0,8.2,2.14,74.3,40,26,7,2.14,12,6,2,18,23,153,29.7,509,802,10,4,10-4
Tyler Adams,0,3,1.6,1.0,1.6,0.41,84.4,76,18,4,1.88,83,50,32,42,14,10,22.2,663,1337,4,10,4-10
Junior Adamu,2,2,5.5,2.4,5.5,2.1,63.5,14,17,8,1.69,9,3,12,20,8,84,34.5,275,534,9,4,9-4
Tosin Adarabioyo,1,1,0.9,0.2,0.9,0.83,91.1,42,1,1,0.96,17,13,11,80,5,1,66.7,777,1330,0,4,0-4
Karim Adeyemi,7,6,5.5,6.0,5.5,2.89,74.3,28,28,19,3.58,20,14,7,5,68,153,42.6,417,636,8,7,8-7
Simon Adingra,2,2,2.5,2.5,2.5,2.71,75.9,18,16,17,3.86,23,14,8,6,50,136,42.0,366,548,6,6,6-6
Amine Adli,2,0,2.7,0.7,2.7,2.35,74.2,24,11,15,3.41,15,9,0,4,37,100,46.9,248,468,6,4,6-4
Yacine Adli,4,6,1.0,2.4,1.0,1.03,80.7,103,23,16,3.64,32,19,6,19,24,30,37.5,618,1021,4,6,4-6
Michel Aebischer,0,0,0.4,0.4,0.4,1.24,87.4,33,8,5,2.23,18,13,7,6,8,17,50.0,291,485,2,3,2-3
Oladapo Afolayan,3,1,3.1,3.8,3.1,2.09,69.4,32,21,14,2.86,17,8,8,20,53,108,49.0,495,741,6,5,6-5
Emmanuel Agbadou,1,0,0.8,0.2,0.8,0.45,85.4,31,4,1,1.09,30,19,12,90,6,2,76.9,758,1172,1,7,1-7
Lucien Agoume,1,3,0.9,2.5,0.9,0.43,81.5,135,27,19,2.55,70,32,41,42,29,23,73.3,689,1481,3,8,3-8
Felix Agu,3,0,1.4,1.8,1.4,0.46,79.7,43,20,22,1.8,30,14,21,48,33,105,25.7,545,1045,8,1,8-1
Nayef Aguerd,0,0,2.4,0.1,2.4,0.77,87.3,75,5,3,0.82,30,24,13,91,26,1,50.0,1019,1594,1,9,1-9
Ruben Aguilar,1,2,0.8,1.9,0.8,0.88,80.3,74,11,21,2.08,34,18,13,23,32,101,42.9,518,996,3,5,3-5
Jean-Eudes Aholou,2,0,1.8,1.0,1.8,1.24,84.3,68,10,7,1.52,56,36,33,32,15,16,42.9,495,1032,9,0,9-0
Joseph Aidoo,0,0,0.0,0.0,0.0,0.15,89.2,14,0,2,0.15,5,5,5,26,1,0,100.0,259,431,0,6,0-6
Ola Aina,2,1,0.6,1.4,0.6,0.33,73.5,107,16,23,1.86,55,42,33,115,67,67,45.8,749,1708,5,9,5-9
Rayan Aït-Nouri,4,7,2.7,5.5,2.7,1.04,84.2,108,46,30,2.63,89,57,26,75,89,176,46.0,1129,2148,6,11,6-11
Kristoffer Ajer,0,0,1.0,1.2,1.0,0.56,78.3,56,8,7,1.13,26,18,12,50,27,44,43.8,387,795,7,0,7-0
Ludovic Ajorque,13,2,10.4,3.1,9.6,1.91,68.9,41,35,11,2.17,26,19,6,26,10,124,47.1,410,914,11,4,11-4
Manuel Akanji,0,0,1.6,0.4,1.6,0.67,93.6,158,9,11,1.65,19,12,9,64,46,7,100.0,1254,1881,2,11,2-11
Ümit Akdag,0,0,0.1,0.1,0.1,0.36,78.7,29,2,1,0.9,8,4,11,19,4,9,100.0,217,400,0,6,0-6
Nathan Aké,0,0,0.2,0.0,0.2,0.4,93.9,50,1,1,1.06,9,7,3,22,12,2,100.0,403,596,0,6,0-6
Ilias Akhomach,1,0,0.6,1.0,0.6,2.62,73.5,12,9,8,4.38,12,7,3,13,30,64,44.2,200,293,4,2,4-2
Sergio Akieme,2,3,1.5,2.5,1.5,0.93,81.0,86,21,20,1.32,34,23,17,97,55,97,41.9,710,1436,5,8,5-8
Maghnes Akliouche,5,10,9.2,7.3,8.4,2.28,81.3,173,49,64,4.45,51,31,15,13,127,226,48.5,999,1566,10,11,10-11
Clément Akpa,0,1,0.3,0.9,0.3,0.22,82.5,74,8,10,0.8,55,34,42,141,27,24,34.8,895,1532,0,10,0-10
Jean-Daniel Akpa-Akpro,0,0,0.3,0.2,0.3,0.37,79.5,19,3,2,1.12,30,18,13,16,21,22,31.6,306,505,1,2,1-2
Kevin Akpoguma,0,0,0.1,0.3,0.1,0.2,87.1,98,7,10,1.09,54,27,29,115,14,16,53.3,892,1692,0,9,0-9
Chuba Akpom,3,1,5.0,0.5,3.4,2.54,67.7,7,5,4,2.39,8,5,0,3,6,38,44.4,80,165,8,4,8-4
Raúl Albiol,0,0,0.1,0.0,0.1,0.15,89.4,34,0,1,0.38,10,9,6,69,3,0,44.4,514,915,0,3,0-3
Carlos Alcaraz,2,3,1.7,1.6,1.7,3.06,80.6,42,13,18,3.89,11,5,5,10,19,21,50.0,211,378,6,4,6-4
Omar Alderete,1,0,1.7,0.9,1.7,1.15,65.5,112,11,15,1.12,43,29,40,241,25,7,64.3,633,1585,0,11,0-11
Carles Aleñá,0,0,0.9,0.1,0.9,1.0,79.5,12,3,3,1.6,6,3,0,7,3,10,75.0,88,163,5,0,5-0
