Player,Cluster,tSNE_1,tSNE_2
Max Aarons,1,-36.68077,-9.642691
Max Aarons,0,16.201963,34.1882
Rodrigo Abajas,1,-27.694838,-4.969105
James Abankwah,1,21.904383,-0.29703003
Keyliane Abdallah,1,6.4547057,14.024054
Yunis Abdelhamid,0,48.15104,1.1555344
Himad Abdelli,1,1.1013585,-2.2071335
Mohamed Abdelmoneim,0,48.999237,-7.116573
Ali Abdi,1,-45.378193,16.479658
Saud Abdulhamid,1,30.348906,-31.731657
Abel,1,-48.30979,-1.5852544
Nabil Aberdin,1,21.233755,-33.54995
Oliver Abildgaard,0,48.371235,-6.8487186
Matthis Abline,1,-3.75237,30.412783
Abner,1,28.562609,-31.786848
Zakaria Aboukhlal,1,-46.790062,-4.7845044
Abdel Abqar,0,40.156982,5.7772193
Tammy Abraham,1,18.56586,-13.998645
Tammy Abraham,1,16.36589,-22.898272
Federico Accornero,1,19.82333,3.506665
Francesco Acerbi,1,-20.653978,-19.349432
Joshua Acheampong,1,19.106352,-15.274938
Akor Adams,1,-49.421844,-3.810885
Akor Adams,1,-49.89406,-2.7009785
Che Adams,1,-7.498905,23.738668
Tyler Adams,1,5.8972454,8.335754
Junior Adamu,1,-31.39018,13.979884
Tosin Adarabioyo,1,9.030145,-0.109800175
Martin Adeline,1,-11.921627,16.196009
Karim Adeyemi,1,-62.593044,-2.2954154
Simon Adingra,1,7.282035,19.314777
Amine Adli,0,16.324442,30.551676
Yacine Adli,1,-13.652324,-3.9976733
Adrián,0,51.519886,-4.461428
Adryelson,1,-52.88056,0.8300306
Vasilije Adžić,1,-61.269512,-3.349845
Michel Aebischer,1,-60.627865,-2.4795086
Oladapo Afolayan,1,10.184289,-16.830454
Emmanuel Agbadou,1,7.7871656,14.2156925
Emmanuel Agbadou,0,53.007282,13.403767
Asher Agbinone,1,-34.46019,18.736664
Jeremy Agbonifo,1,-20.132309,-11.395035
Julen Agirrezabala,1,-32.363194,16.431763
Lucien Agoume,1,21.842005,-34.409306
Felix Agu,1,-38.4909,-9.18887
Álvaro Aguado,1,15.188401,-28.403286
Lorenzo Aguado,1,-45.4879,21.964449
Nayef Aguerd,1,-25.632572,-30.02179
Ruben Aguilar,1,10.364595,-7.867326
Naouirou Ahamada,0,18.895344,35.743855
Honest Ahanor,0,26.409924,-10.38649
Erik Ahlstrand,0,36.92124,9.77748
Jean-Eudes Aholou,1,16.871838,-18.303253
Joseph Aidoo,1,19.029495,4.547849
Joseph Aidoo,1,25.202875,5.509186
Ayman Aiki,1,11.8590765,-18.668377
Ola Aina,1,-42.37817,31.76399
Rayan Aït-Nouri,1,-51.12484,-10.247312
Junior Ajayi,1,-7.4680552,-2.8377578
Kristoffer Ajer,1,-6.7218018,20.900528
Ludovic Ajorque,1,-11.253413,10.693925
Manuel Akanji,1,17.877224,-6.6531925
Ümit Akdag,0,57.495026,1.5100739
Nathan Aké,1,-44.372192,15.589716
Ilias Akhomach,1,-0.24651378,-7.1232967
Sergio Akieme,1,-20.309603,-19.70532
Maghnes Akliouche,1,3.2253702,16.905529
Paul Akouokou,1,3.6363535,25.794294
Clément Akpa,0,21.180841,35.030216
Jean-Daniel Akpa-Akpro,1,-16.404055,-11.092676
David Akpan Ankeye,0,47.552643,7.495119
Kevin Akpoguma,1,-48.017914,22.99683
Chuba Akpom,1,7.2412357,32.528225
David Alaba,1,-3.9314911,28.106167
Ibrahim Alani,1,2.646165,35.855278
Andreas Albers,1,10.791504,-33.595524
Raúl Albiol,1,-12.835993,10.340182
Carlos Alcaraz,1,17.028435,26.0742
Carlos Alcaraz,1,1.5860169,0.8431241
Omar Alderete,1,-36.57482,30.799627
Carles Aleñá,1,11.544973,-23.459574
Carles Aleñá,1,-1.8519906,-20.932314
Ben Alexander Voll,0,37.97581,10.976835
Trent Alexander-Arnold,1,-16.026163,9.862602
Alfon,1,7.703319,17.888388
Mohamed Ali Cho,1,37.584793,-13.774712
Faride Alidou,1,-1.4534004,32.25209
Alisson,1,-22.60075,-0.43968764
Tadeo Allende,1,-24.403858,2.0187917
Jim Allevinah,1,22.785713,-37.87294
Dele Alli,1,6.5234632,14.642987
Thiago Almada,1,16.977148,18.613514
Domingos André Ribeiro Almeida,1,-11.2830105,16.408865
Iker Almena,1,10.094907,-31.631685
Miguel Almirón,0,33.26683,4.4547114
Pontus Almqvist,1,18.226437,-32.451267
Marcos Alonso,1,2.0489347,14.44526
Giorgio Altare,1,24.09937,-28.574806
Adrià Altimira,1,-20.88007,-7.1533446
Sergi Altimira,1,27.687284,-38.16435
Olabade Aluko,1,-45.590893,-5.3343115
Edson Álvarez,1,18.008411,-31.302502
Hugo Álvarez,1,19.579079,-31.262476
Julián Álvarez,1,-7.608188,-10.460973
Yeray Álvarez,0,44.481518,6.2053366
Skelly Alvero,1,24.35724,-8.277308
Will Alves,1,16.623198,20.895746
Selim Amallah,1,-3.3228824,31.479496
Harry Amass,1,8.423913,-10.01002
Amath,1,13.321097,21.23705
Jordan Amavi,1,-6.2263465,13.742483
Aurele Amenda,1,-23.598526,10.661536
Kelvin Amian,1,11.455283,-30.632614
Michael Amir Murillo,1,-7.9811654,16.847073
Nadiem Amiri,1,-23.264614,-31.67943
Samuel Amo-Ameyaw,1,22.637909,-38.707294
Samuel Amo-Ameyaw,1,20.040894,-1.9772863
Mathis Amougou,1,-0.1317476,23.715105
Mathis Amougou,1,-20.221836,-18.133818
Mohamed Amoura,1,-25.40207,-17.948895
Sofyan Amrabat,1,25.501572,-24.110464
Joachim Andersen,1,-48.009026,21.386555
Joachim Andersen,1,-11.230862,8.63741
Elliot Anderson,0,51.86842,13.6968775
André,1,-48.84978,-9.638475
Benjamin André,1,-60.406574,-0.9820391
Marcos André,1,20.425638,-11.891259
Robert Andrich,1,-61.618427,-2.5438595
Angeliño,1,28.127558,-36.283638
Lorenzo Anghelè,1,-19.257719,-16.935944
Faustino Anjorin,1,30.213028,-36.99117
Waldemar Anton,1,24.966255,-0.022612864
Leandro Antonetti,1,0.09054708,-9.763021
Kyllian Antonio,1,9.267252,-7.6170287
Michail Antonio,0,45.50953,13.122199
Antoniu,1,9.083486,-13.334212
Antony,1,17.55382,16.350098
Antony,1,4.735067,-29.788633
Anuar,1,5.69595,37.73077
Dennis Appiah,1,-39.21455,28.884724
Aritz Arambarri,1,-23.65458,-18.451836
Mauro Arambarri,1,-34.236897,-13.211751
Jon Aramburu,1,-38.39615,13.103911
Julian Araujo,1,31.727837,-35.28065
Ronald Araújo,1,-59.27277,0.20267288
Cameron Archer,1,3.768929,-20.36623
Carlens Arcus,1,5.125217,-23.10479
Alphonse Areola,1,-38.046722,-4.121903
Adu Ares,1,0.037454143,-1.3390809
Jesús Areso,0,56.60134,10.49732
David Argüelles,1,4.806621,21.626698
Joe Aribo,0,19.01776,32.404186
Adam Armstrong,1,-11.891775,-29.102486
Harrison Armstrong,0,46.728172,7.731832
José Arnaiz,1,-12.289086,17.771948
Hákon Arnar Haraldsson,1,16.107056,-7.091792
Marko Arnautović,1,3.2996893,25.45941
Maximilian Arnold,0,53.971443,-3.1316898
Jann-Fiete Arp,1,-37.13926,16.605999
Sergio Arribas,1,-48.501842,22.504747
Kepa Arrizabalaga,1,-40.31596,24.9134
Arthur,1,11.639878,31.200773
Takuma Asano,1,-41.138924,14.990789
Raúl Asencio,1,-33.89243,-14.417806
