L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,Cluster,Player
0.058606893,0.6699763,0.9524084,-0.5968824,-0.1638032,0.39318845,0.13855073,0.11159394,-0.03459149,0.21656387,-0.44316137,0.22665775,-0.2902465,0.22481653,-0.21159825,-0.25753862,1,Max Aarons
0.48944217,-0.3277552,0.4409394,-0.52886295,0.4479079,-0.43156698,0.549082,0.3655914,-0.5828409,0.061822116,-0.5341219,-0.56546605,0.29464617,0.22254713,-0.39921317,0.73452085,1,Max Aarons
0.03625144,0.613739,0.98033625,-0.61337787,-0.1407995,0.36210024,-0.04190068,0.04176335,0.08091508,0.28223234,-0.4396561,0.16283545,-0.33944437,0.19026318,-0.31852072,-0.23921941,1,Rodrigo Abajas
0.15787058,0.058191188,0.5908889,-0.47097635,0.07416899,-0.1546528,0.7092956,0.2974838,-0.14230503,0.18840012,-0.37106442,-0.12418021,0.14040294,-0.012919553,-0.062566906,0.4440517,1,James Abankwah
0.12471886,0.09919907,0.4004277,-0.29710236,0.26129478,-0.0673217,0.2203348,0.24674225,0.09771262,0.07099242,-0.07912927,-0.058815815,-0.005166093,-0.021678977,-0.13469292,0.2310101,1,Keyliane Abdallah
0.11877349,0.1617617,0.8242813,-0.8596481,-0.16342318,-0.26599,1.7247475,0.58172184,-0.7028971,0.5607864,-1.172118,-0.19126317,0.33886412,-0.17602003,0.18403183,0.89588064,0,Yunis Abdelhamid
0.22353023,0.2982294,0.48205703,-0.30674928,-0.052566186,0.077977516,0.10183467,0.21206534,-0.0048604533,0.17266838,-0.16547069,0.017797068,-0.09085279,0.24541849,-0.20605108,-0.08097358,1,Himad Abdelli
0.008287936,0.43949673,1.0278144,-1.1217803,-0.4713559,-0.10046389,2.0015328,0.5072569,-0.6066879,0.5075911,-1.2030828,0.03673339,0.06942487,-0.14902622,0.38420844,0.78136253,0,Mohamed Abdelmoneim
0.12303744,0.39627564,0.53327256,-0.49274522,0.58845484,0.14506525,0.4351475,0.33957803,-0.039320797,-0.23757088,-0.09603177,0.110314116,-0.097737186,-0.010235049,-0.18255137,0.28393674,1,Ali Abdi
0.032724768,0.51684254,0.9611018,-0.9340826,-0.6505478,0.08888561,1.3011798,0.246542,-0.36659425,0.42146957,-0.8891206,0.10414368,-0.17994155,0.09475211,0.22943054,0.2520533,1,Saud Abdulhamid
0.30728397,0.5156469,0.58664334,-0.3952142,0.36780792,0.18271384,0.22886457,0.30070764,-0.108213216,-0.089258105,-0.14187503,0.122638345,-0.12050405,0.23411745,-0.36166406,0.010397498,1,Abel
-0.045468777,0.58450747,0.835604,-0.8083662,-0.70900744,0.32311144,1.2243285,0.28628343,-0.4424164,0.32747814,-0.7900865,0.19241726,-0.26725122,0.19525929,0.21868129,0.0004617758,1,Nabil Aberdin
0.1174976,0.40919024,0.9991791,-1.0935572,-0.4545773,-0.19625795,1.9241877,0.53188527,-0.6628152,0.53503346,-1.194587,-0.027274951,0.15749381,-0.029834412,0.37252414,0.81611764,0,Oliver Abildgaard
0.22486082,0.13316557,0.7314592,-0.4529789,0.26089445,-0.05879087,-0.015827475,0.13240701,0.061780937,0.15447085,-0.30646467,-0.15291457,0.005618995,0.06860349,-0.38903236,0.25843933,1,Matthis Abline
-0.09289095,0.47821486,0.948301,-0.9485866,-0.6651819,0.20906985,1.19229,0.19662863,-0.3259775,0.3668123,-0.8783657,0.108812794,-0.24168222,0.030367509,0.2450278,0.16658884,1,Abner
0.23015691,0.7507198,0.84422994,-0.5022689,0.08102258,0.2779613,0.35000396,0.2532344,-0.12109703,0.049608976,-0.3238848,0.30956548,-0.13242859,0.22297683,-0.1686888,-0.13563111,1,Zakaria Aboukhlal
0.38233808,-0.09769522,0.27660653,-0.5092938,-0.35495976,-0.2983133,0.8289911,0.5318299,-0.6219177,0.5783367,-0.8839969,-0.35135764,0.20570861,0.18715946,-0.1181997,0.4485885,1,Abdel Abqar
0.24306402,0.1407479,0.25827253,-0.33110568,-0.36123005,-0.035056643,0.39943266,0.32674956,-0.25599396,0.37606627,-0.4256393,-0.13589023,-0.089007564,0.29025367,-0.11136254,0.053611264,1,Tammy Abraham
0.2099224,0.3203322,0.4220148,-0.384258,-0.521827,0.084230416,0.5763601,0.28669512,-0.2736152,0.36373377,-0.4567622,-0.041635774,-0.15084858,0.3618581,-0.053142995,-0.004841719,1,Tammy Abraham
0.44520697,0.086889245,0.18488821,-0.20868622,-0.02397688,-0.19723573,0.051144134,0.33259064,-0.08645077,0.25159228,-0.14757174,-0.15290213,0.041632444,0.350066,-0.22343105,0.09661351,1,Federico Accornero
0.2489046,0.5354811,0.7174293,-0.38661972,-0.2532164,0.22503,0.14315441,0.17028765,-0.05878447,0.303299,-0.3246022,0.111704126,-0.2096078,0.3737077,-0.26545978,-0.22092272,1,Francesco Acerbi
0.23692855,0.14079994,0.24625981,-0.31467265,-0.30547538,0.0008529499,0.4614676,0.3974816,-0.30126294,0.3639695,-0.44162685,-0.12877533,-0.033528227,0.2605487,-0.13358319,0.057104286,1,Joshua Acheampong
0.22219639,0.6380268,0.6529069,-0.4176747,0.26482928,0.20331118,0.36639205,0.32668886,-0.1314124,-0.027920723,-0.20592982,0.22478953,-0.069279216,0.18837053,-0.15520784,-0.019089032,1,Akor Adams
0.4059173,0.5723069,0.5575814,-0.3425741,0.19142577,0.13651305,0.29784545,0.33083498,-0.18106958,0.0120482445,-0.17399299,0.13822594,-0.07565332,0.34871757,-0.33072513,-0.07001875,1,Akor Adams
0.43516898,0.100596875,0.33842838,-0.3170521,0.40071723,-0.11700405,0.24816285,0.30195236,-0.24965084,-0.012042493,-0.10809876,-0.19773445,-0.05189972,0.32128504,-0.46929103,0.15718774,1,Che Adams
0.0410209,0.0031822324,0.5259937,-0.41436982,0.011400521,-0.015120693,0.18320964,0.13680777,0.010146588,0.16619316,-0.26014826,-0.13090752,-0.05986698,0.011198133,-0.18043622,0.12162292,1,Tyler Adams
0.19553714,0.5105033,0.9156936,-0.62455815,0.2325853,0.13897127,0.31430107,0.11352216,0.046321873,-0.019987315,-0.2644952,0.17219198,-0.19478755,0.08351336,-0.27460685,0.0813764,1,Junior Adamu
0.23436998,0.07312727,0.34269977,-0.2844968,-0.032256775,-0.070465475,0.0785599,0.2093611,-0.0056884363,0.18134366,-0.16057052,-0.11249408,-0.036886096,0.18692116,-0.1875009,0.044899467,1,Tosin Adarabioyo
0.27465504,0.24160433,0.7537589,-0.4840082,0.13113023,-0.055308387,0.2707458,0.12187333,-0.030766599,0.088599116,-0.28211576,-0.044863857,-0.04427612,0.13718873,-0.32688916,0.17926016,1,Martin Adeline
0.28584832,1.0066329,0.67142844,-0.27534768,0.018207802,0.45096424,0.4420624,0.50295323,-0.36331668,0.13346736,-0.3377595,0.36994478,-0.04254283,0.4629261,-0.13650295,-0.26934704,1,Karim Adeyemi
-0.001411885,-0.009133436,0.5653029,-0.45368987,0.5308542,0.0061489865,0.28796455,0.23289186,0.03036204,-0.07356024,-0.22170974,-0.14965732,0.025457172,-0.22709864,-0.21961385,0.41006187,1,Simon Adingra
0.24908778,-0.4971972,0.3669811,-0.49612266,0.69717723,-0.29118934,0.5337399,0.33384347,-0.4126952,-0.025921196,-0.42054877,-0.52474433,0.2599149,-0.12492628,-0.27955782,0.7008931,1,Amine Adli
0.11363274,0.3383463,0.6223768,-0.46608227,-0.065593645,0.13407332,0.1774668,0.15026653,0.016305417,0.1391896,-0.24324386,0.07951647,-0.16694483,0.15331714,-0.12800066,-0.07398027,1,Yacine Adli
0.19676071,0.5108944,1.1917574,-1.0520738,0.050844155,-0.36143902,2.3207197,0.6618048,-0.7459829,0.5046382,-1.2324104,-0.054114535,0.52445054,-0.18296865,0.31562328,1.2983001,0,Adrián
0.5699707,0.70176303,0.49892408,-0.35933077,0.56451756,0.114147194,0.5457017,0.45873326,-0.44245604,-0.13849568,-0.15077518,0.06396556,-0.12256647,0.48262635,-0.598822,0.030846976,1,Adryelson
0.26938352,0.8582966,0.49623835,-0.25810274,0.0030557718,0.37941733,0.48993433,0.53490454,-0.36292422,0.10117636,-0.27685893,0.30217123,-0.02466527,0.4512485,-0.055041716,-0.18155904,1,Vasilije Adžić
0.48964596,0.9910308,0.510315,-0.10311996,0.10558239,0.29566833,0.38697276,0.58557117,-0.3316116,0.16841047,-0.22165202,0.30583134,0.060023166,0.5541923,-0.24819674,-0.17016293,1,Michel Aebischer
0.18316768,0.3597031,0.37857917,-0.36259794,-0.4516737,0.14001197,0.38361138,0.27426404,-0.1682744,0.3487029,-0.32908618,-0.011672065,-0.21580313,0.4190883,-0.034730807,-0.06387386,1,Oladapo Afolayan
0.025734738,-0.01353766,0.4858184,-0.38455725,0.29357094,-0.021517925,0.25248075,0.19763793,0.042878613,0.011611477,-0.16257556,-0.10735277,-0.00428324,-0.12472526,-0.164345,0.23225193,1,Emmanuel Agbadou
0.6961857,-0.6147806,0.21207672,-0.55017024,0.39671674,-0.6792292,0.9129956,0.63638324,-1.0106822,0.36563998,-1.1434169,-0.81470037,0.70225513,0.0539043,-0.29053688,1.2416545,0,Emmanuel Agbadou
-0.22434711,0.18215576,0.88301367,-0.64185846,0.52002376,0.2440981,0.18434723,0.06408728,0.13840479,-0.112769604,-0.28423738,-0.044897147,-0.19015291,-0.2753873,-0.3388744,0.29544914,1,Asher Agbinone
0.101256415,0.4268735,0.7611561,-0.49933553,-0.23215222,0.25101796,0.045080952,0.08740388,0.043042645,0.27549058,-0.33743432,0.081220254,-0.2710188,0.24825239,-0.21338426,-0.19786207,1,Jeremy Agbonifo
0.18619287,0.35430676,0.656083,-0.4425559,0.418688,0.11715827,0.1162569,0.17075206,0.06814728,-0.059953406,-0.11178523,0.04971589,-0.18482871,0.0833931,-0.41384202,0.102892175,1,Julen Agirrezabala
0.055036858,0.60993946,0.8741744,-0.77601546,-0.7551528,0.2713892,1.0974381,0.2172418,-0.40910298,0.3626859,-0.77313066,0.17608216,-0.30064082,0.2888531,0.10407768,-0.03156318,1,Lucien Agoume
0.023603916,0.762249,1.049793,-0.6466682,-0.17268212,0.45213345,0.17708331,0.10125739,-0.05899498,0.2194016,-0.5000958,0.279692,-0.3151301,0.21419823,-0.19401988,-0.2941352,1,Felix Agu
0.4069626,0.40143025,0.36962456,-0.2955289,-0.4332584,0.02201555,0.449172,0.33386892,-0.2604326,0.35210165,-0.33841172,-0.013300933,-0.11566079,0.52947164,-0.15528935,-0.022845913,1,Álvaro Aguado
-0.011187702,0.26489913,0.61367404,-0.571332,0.7772871,0.10770311,0.5747283,0.3078252,0.022487737,-0.30811483,-0.09052321,0.05421436,-0.07272798,-0.22899404,-0.120811105,0.45608854,1,Lorenzo Aguado
0.19087426,0.8128211,0.712,-0.3908565,-0.23040769,0.39056846,0.47647455,0.37407076,-0.3116508,0.23653054,-0.42493147,0.24586773,-0.11719006,0.43305004,-0.07166238,-0.21803083,1,Nayef Aguerd
0.32434833,0.26788825,0.30005917,-0.24585989,-0.19972761,0.017076619,0.16995561,0.292731,-0.07940853,0.26778978,-0.17006779,-0.039613545,-0.10376772,0.39400727,-0.1645362,-0.04010048,1,Ruben Aguilar
0.615855,-0.49450582,0.17938769,-0.5566779,0.7375401,-0.5181267,0.27474666,0.33838195,-0.5827373,-0.02842772,-0.3454593,-0.6762203,0.14708242,0.3055158,-0.5075838,0.6068951,1,Naouirou Ahamada
0.16021222,0.055135835,0.31486368,-0.5030225,-0.5595017,-0.02740962,0.77514833,0.4225123,-0.5255705,0.53443944,-0.8128491,-0.20406282,-0.043976624,0.17598903,-0.02026683,0.14749055,1,Honest Ahanor
0.25086457,-0.1880531,0.15844968,-0.42147762,-0.34453407,-0.19931251,0.45236427,0.39043853,-0.44658062,0.51395524,-0.738969,-0.34351903,0.0441906,0.09858412,-0.10881798,0.22535472,1,Erik Ahlstrand
0.02094239,0.060243294,0.5519211,-0.5411074,-0.32160905,0.016139649,0.59396577,0.21043277,-0.21507528,0.31315768,-0.5545729,-0.12930954,-0.08197775,0.028783314,-0.02412203,0.14966623,1,Jean-Eudes Aholou
0.6192179,0.2673346,0.0722335,-0.15482357,-0.07304705,-0.20694304,0.20581514,0.50169826,-0.26298448,0.34388766,-0.18832815,-0.1306935,0.061943725,0.58740413,-0.32692772,0.13807881,1,Joseph Aidoo
0.5309032,-0.036818333,0.0430419,-0.25635645,0.14183839,-0.27949584,-0.021325054,0.3801599,-0.1758849,0.22119173,-0.1141416,-0.25198448,0.0040247124,0.41682327,-0.31569338,0.10045005,1,Joseph Aidoo
0.011263773,0.2248224,0.5476055,-0.54923344,-0.37574503,0.16902941,0.52575284,0.1786742,-0.17336181,0.21724848,-0.44949082,0.006194398,-0.21097685,0.1252649,-0.037473813,-0.03926805,1,Ayman Aiki
0.3588325,0.034735836,0.7325872,-0.6484904,0.7901054,-0.13950324,0.6351377,0.20813909,-0.4258878,-0.31832987,-0.29248577,-0.30249417,-0.00920401,0.12046862,-0.5188852,0.5209136,1,Ola Aina
0.09374356,0.6520295,0.6083907,-0.48810917,-0.05695051,0.3720185,0.44504812,0.3491003,-0.24521458,0.028264299,-0.34134182,0.26126358,-0.14318459,0.25899604,0.0117684305,-0.14352684,1,Rayan Aït-Nouri
0.04978144,0.22073872,0.6274873,-0.40290463,-0.008803805,0.11434906,0.05471428,0.096838534,0.07349627,0.15382345,-0.22448385,-0.020257972,-0.14609347,0.09023675,-0.22757478,-0.021436516,1,Junior Ajayi
0.4752363,0.13551022,0.4359306,-0.3373074,0.30197397,-0.13000701,0.30107033,0.26110393,-0.26972628,0.02328962,-0.17073137,-0.18638723,-0.0528588,0.34348804,-0.50596756,0.13654023,1,Kristoffer Ajer
0.287081,0.24523346,0.56551796,-0.3048764,0.07076926,0.008270182,-0.057020478,0.16008843,0.0878193,0.1883387,-0.16707052,-0.032769844,-0.07753497,0.20445,-0.36418363,0.0070380457,1,Ludovic Ajorque
0.10451117,-0.038676955,0.32820138,-0.37617606,-0.052330986,-0.039342545,0.3953081,0.30053422,-0.16500396,0.20170763,-0.3334822,-0.12544835,-0.013725785,0.027063876,-0.09465042,0.12635261,1,Manuel Akanji
0.67661333,0.1069347,0.87371665,-0.8739231,0.22881307,-0.8133378,2.2912428,0.90078795,-1.2522762,0.74008816,-1.648427,-0.5154654,1.0433534,-0.044799186,0.04642041,1.8247693,0,Ümit Akdag
