L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,Cluster,Cluster_KMeans,Cluster_Agglom,Cluster_GMM,GMM_Confidence,Recon_Error,Player
-0.7149721,-0.5681487,-0.08960297,-0.21579094,-0.20779304,-0.17950496,0.66710865,-0.3137757,0.4751439,-0.49757516,-0.711413,0.010020889,4,4,4,4,0.9999943,0.009994178,Max Aarons
-1.1878977,-0.2649874,-0.24018815,0.040803283,-1.082541,-0.15784688,0.25711802,1.035906,0.09600304,1.7031382,0.92956793,-0.03151819,2,2,2,2,0.99517155,0.15310109,Max Aarons
-0.6338693,-0.8264788,-0.1780043,-0.12067847,-0.664609,-0.41551262,0.8353139,-0.11113637,0.24598075,-0.4444847,-0.6777452,-0.1583892,4,4,4,4,1.0,0.030551985,Rodrigo Abajas
-0.33174163,-0.21926968,-0.12665176,0.48209387,0.0631013,-0.5040467,0.006020017,0.2717942,-0.25525153,0.17940032,0.15492606,0.012974955,1,3,4,1,0.96276104,0.036644213,James Abankwah
-0.22531772,0.11297152,-0.229215,-0.25607592,-0.44165072,0.51231897,0.44673443,0.22935662,-0.34071445,-0.11206298,0.0121411085,0.11868799,2,4,2,2,0.9744642,0.053755723,Keyliane Abdallah
-0.66375655,-0.38796622,-0.73863393,1.4503102,0.50550586,-1.4175286,-0.79693365,1.2778035,-0.30703205,0.5770138,0.7621987,0.6531558,1,1,1,1,1.0,0.13136125,Yunis Abdelhamid
-0.47696817,-0.23236118,-0.19403431,-0.23028518,-0.230157,0.20300986,0.23639327,0.21847454,-0.21033895,-0.20398088,-0.4979046,0.30887008,4,4,4,4,0.9996635,0.025586922,Himad Abdelli
-0.3844182,-0.7176747,-0.84052867,2.0037074,0.63374066,-1.9466141,-0.5368303,0.81480277,-0.0822966,0.20635654,0.907936,0.46579832,1,1,1,1,1.0,0.11331137,Mohamed Abdelmoneim
-0.66142195,0.22661628,0.31587437,-0.8397796,0.048581593,0.68816304,0.60594475,-0.8907158,0.629384,0.12224494,-0.1354658,-0.44163227,0,0,0,0,1.0,0.04374822,Ali Abdi
-0.020928413,-0.5561956,-0.6976527,1.2493982,0.44820097,-1.4058089,-0.30769202,0.37342972,-0.26720163,0.04563885,0.0448111,0.45582196,3,3,3,3,0.9985141,0.08325143,Saud Abdulhamid
-0.86080945,-0.21380141,0.16760819,-0.6870428,-0.25608656,0.734397,0.70902824,-0.5008251,0.2853824,0.20069824,-0.38551676,0.08604264,0,0,0,0,1.0,0.038352996,Abel
-0.23567277,-0.493118,-0.6007009,0.98765457,0.68208325,-1.0385356,-0.38727808,-0.100756444,0.28107762,-0.16706972,-0.16454807,0.9272926,3,3,3,3,1.0,0.029831916,Nabil Aberdin
