Player,Cluster,tSNE_1,tSNE_2,UMAP_1,UMAP_2
Max Aarons,4,30.174019,-19.353027,-2.745959,2.7092
Max Aarons,2,-4.692742,36.09123,2.9943817,5.147667
Rodrigo Abajas,4,25.712637,-31.1705,-2.662969,0.62767094
James Abankwah,1,-14.083068,-0.3355054,2.4386759,1.6220343
Keyliane Abdallah,2,4.1850576,15.653287,1.364908,3.8806188
Yunis Abdelhamid,1,-41.406834,5.839182,6.305319,0.9548942
Himad Abdelli,4,8.227162,-0.14439268,0.110118374,2.5116577
Mohamed Abdelmoneim,1,-47.169384,-0.5214621,6.6099224,0.19236812
Ali Abdi,0,44.95895,4.2685246,-4.17795,5.506334
Saud Abdulhamid,3,-38.605537,-15.797674,4.6917725,-1.1151563
Abel,0,39.754086,0.3816681,-3.6705186,4.6313167
Nabil Aberdin,3,-34.014347,-17.852587,4.1528273,-1.146359
Oliver Abildgaard,1,-46.130314,0.6567725,6.5942106,0.32949242
Matthis Abline,0,11.751554,31.670813,0.85660887,5.195243
Abner,3,-39.127716,-16.403,4.7389574,-1.2290103
Zakaria Aboukhlal,0,38.792442,0.8549627,-3.6037045,4.3771925
Abdel Abqar,1,-38.260807,7.2349267,6.023274,1.3462099
Tammy Abraham,3,-20.705673,-6.4953985,3.1086144,0.53589004
Tammy Abraham,3,-20.01569,-10.772891,3.0347397,0.08942942
Federico Accornero,4,0.20806532,-1.306893,1.3041869,1.9565102
Francesco Acerbi,4,15.629657,-19.95624,-1.303153,1.1821389
Joshua Acheampong,3,-20.976877,-5.940335,3.1684906,0.6765007
Akor Adams,0,39.04102,-2.034336,-3.7470353,4.348111
Akor Adams,4,37.118896,-1.9235961,-3.5876188,4.259006
Che Adams,0,9.641202,25.74764,0.9852404,5.1081743
Tyler Adams,4,0.92599547,0.91192734,0.9635198,2.2361376
Junior Adamu,0,33.415188,12.085412,-2.6608536,5.166563
Tosin Adarabioyo,4,-1.7089351,2.3156214,1.2857763,2.3295996
Martin Adeline,0,16.187279,5.2836328,0.04766935,3.6694105
Karim Adeyemi,4,45.268093,-8.163767,-5.230706,3.9301596
Simon Adingra,2,4.992576,28.288671,1.7441087,5.088259
Amine Adli,2,-13.508889,32.370495,3.59939,4.6042423
Yacine Adli,4,11.666694,-10.065448,-0.7741308,1.790324
Adrián,1,-48.94445,3.357309,7.0477014,0.48359293
Adryelson,0,46.369133,22.730911,-2.778227,6.413451
Vasilije Adžić,4,44.513943,-9.245555,-5.122983,3.7623725
Michel Aebischer,4,44.234554,-7.5935736,-5.209606,3.9548793
Oladapo Afolayan,3,-15.545594,-20.83226,2.055053,-0.45300117
Emmanuel Agbadou,2,2.6603892,17.308933,1.8352239,3.8229825
Emmanuel Agbadou,1,-42.977535,15.490393,6.552827,2.0130713
Asher Agbinone,0,33.13572,15.485963,-2.4090464,5.4164057
Jeremy Agbonifo,4,15.830087,-24.142332,-1.1674341,1.3240615
Julen Agirrezabala,0,31.271559,13.054964,-2.5460877,5.1446266
Lucien Agoume,3,-34.49945,-18.959568,4.204091,-1.2886543
Felix Agu,4,33.2576,-20.406761,-2.8389914,3.0700758
Álvaro Aguado,3,-13.058173,-13.784721,2.1783552,0.15522946
Lorenzo Aguado,0,44.727146,9.350021,-3.8149812,6.1755576
Nayef Aguerd,4,8.179201,-22.115816,-0.7731873,0.72731537
Ruben Aguilar,4,-2.983201,-8.444859,1.06164,1.0645158
Naouirou Ahamada,2,-13.759606,36.412857,3.8100803,4.897969
Honest Ahanor,1,-28.600348,12.509899,5.4260736,2.49362
Erik Ahlstrand,1,-29.023012,9.1734915,5.0607185,2.1502972
Jean-Eudes Aholou,3,-22.638031,-6.9155207,3.278418,0.30125672
Joseph Aidoo,2,-16.186045,6.267076,2.7556574,1.4190475
Joseph Aidoo,2,-8.268509,9.57787,2.1400964,2.8334882
Ayman Aiki,3,-21.597364,-10.983558,2.940747,0.24848816
Ola Aina,0,44.00355,24.346024,-2.5713668,6.552857
Rayan Aït-Nouri,4,42.260258,-9.804108,-4.8601556,3.6629086
Junior Ajayi,4,11.499735,-3.8025134,-0.23241311,2.2405174
Kristoffer Ajer,0,8.958695,24.171185,0.9386848,4.748902
Ludovic Ajorque,4,13.944254,8.1389065,-0.098508134,3.8515704
Manuel Akanji,2,-23.40689,8.85606,3.5723717,1.7525578
