mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,Cluster,GMM_Confidence,Recon_Error,Player
-0.099167235,-0.39867318,-0.40222937,0.25431794,-0.20486403,0.3676914,0.96830064,-0.038376212,0.97162485,-0.64762604,-0.004307336,-1.1986171,-0.3977468,-1.414915,-0.0689838,0.8650192,2,0.99980927,0.061385654,Max Aarons
0.19906613,0.3311678,0.5032428,-0.3736936,0.5731009,-0.5518059,-0.24809663,0.4093907,-1.7616152,1.6058178,0.6559396,1.0244561,0.046837725,1.7297349,-1.1192592,-2.3658924,4,1.0,0.46761838,Max Aarons
-0.014126942,-0.20955306,-0.34288406,0.19232562,-0.09142114,0.19605944,0.89174813,-0.07282843,0.8707621,-0.5777125,-0.0057977075,-1.1617135,-0.50912416,-1.3089268,-0.07787194,0.83090013,1,0.9864418,0.14885698,Rodrigo Abajas
-0.14874494,0.61025923,0.6105427,-0.28236172,0.22556175,-0.80341095,-0.4802615,-0.057607546,0.045549005,0.16252674,-0.5879504,0.85639256,0.040235855,0.41636643,0.33201206,-0.33147115,0,0.97487223,0.14705874,James Abankwah
0.18174452,-0.022547968,-0.25006765,0.079301596,-0.09663576,0.13066904,0.28161573,0.31141812,-0.67231965,0.49147,0.601761,-0.25240374,-0.13175407,0.22001413,-0.755472,-0.44678208,7,0.99997705,0.22602415,Keyliane Abdallah
-1.3592992,1.5733948,1.4799306,-0.46829805,0.9820806,-1.4852794,-1.801415,0.30545354,0.2720995,0.2725185,-1.4646493,2.0155048,0.40777308,0.8439568,2.287949,-0.49603122,6,1.0,0.16136739,Yunis Abdelhamid
0.11482569,-0.013415158,-0.21427844,-0.011658434,-0.059852105,0.10141742,0.2635349,0.10257475,0.19470564,-0.2850524,-0.18745752,-0.21281764,-0.04607761,-0.3475419,-0.116683096,0.25113943,2,0.84449065,0.067411795,Himad Abdelli
-1.6763197,1.6900649,1.3426296,-0.47802806,1.2626159,-1.5411704,-2.2938507,0.27393007,1.3084891,-0.49989957,-1.9662635,2.0416744,0.32834783,-0.08128579,2.864054,0.03324647,6,1.0,0.19854602,Mohamed Abdelmoneim
0.23973238,-0.58023715,-0.63284355,0.2926968,-0.9102314,0.4352735,0.78190374,0.32348874,-0.4251755,0.02498744,1.3096924,-1.172256,-0.23796654,-0.6602955,-0.7057489,-0.096177615,1,0.9912656,0.27300742,Ali Abdi
-1.1325506,0.98914707,0.9716532,-0.55763304,0.8954119,-1.0992095,-1.2070974,0.20285606,1.3029299,-0.487537,-1.4594631,1.4976065,0.27608278,-0.2131432,1.621028,0.36251917,5,0.9996015,0.15936121,Saud Abdulhamid
0.17256083,-0.4167637,-0.7126805,0.28378782,-0.8000048,0.39809188,0.6486844,0.26731667,-0.38112926,-0.15886661,0.9246719,-1.0348506,-0.12425214,-0.600057,-0.58673733,0.040962804,1,1.0,0.15657578,Abel
-1.126609,0.6201824,0.5486627,-0.45761642,0.96686965,-0.7712152,-0.5388847,0.06948267,2.0444512,-1.0813155,-1.6731915,1.0201396,0.12693363,-0.51309997,1.0963246,1.0814275,5,1.0,0.1405657,Nabil Aberdin
-1.3565409,1.6216649,1.3973855,-0.62041783,1.2746319,-1.4974757,-2.3428352,0.12989539,0.85933304,-0.17862822,-1.4732888,1.8045148,0.36632928,0.24363339,2.6843412,-0.14916214,6,1.0,0.12092899,Oliver Abildgaard
0.21520764,-0.008075662,-0.4002599,-0.11972369,0.06605555,0.16820014,0.63677067,0.6021732,-0.807654,0.7476035,1.2169483,-0.6124994,-0.25079843,0.17064796,-0.87950253,-0.49804464,7,1.0,0.4519717,Matthis Abline
-1.0338961,0.78538007,0.6856987,-0.4682698,0.91620386,-0.9047055,-1.1149873,0.14147304,1.4107218,-0.62452257,-1.3273677,1.2601515,0.23155573,-0.31468388,1.3703277,0.5266525,5,1.0,0.16377439,Abner
