Player,Cluster,tSNE_1,tSNE_2,UMAP_1,UMAP_2
Yunis Abdelhamid,2,-33.467564,18.155457,-1.0698745,2.22225
Himad Abdelli,4,10.207429,-34.192265,4.9929338,9.858995
Mohamed Abdelmoneim,1,-29.895876,17.96869,-0.48764613,2.1793852
Ali Abdi,0,17.77021,-0.6402119,6.084093,5.1752014
Abel,7,-6.2942367,-17.151447,2.3569522,7.7138767
Matthis Abline,6,39.65908,0.058200445,9.108905,5.4692235
Abner,2,-7.453122,5.0591373,2.3674543,4.6906867
Zakaria Aboukhlal,6,42.6865,5.498145,9.535014,4.818449
Abdel Abqar,1,-31.920195,-15.206814,-1.1611543,7.380267
Tammy Abraham,5,35.681812,11.656782,8.590119,3.5462105
Francesco Acerbi,1,-30.769672,-9.825401,-1.0061079,6.5108852
Akor Adams,5,32.82468,22.475399,8.222472,1.8908594
Che Adams,6,41.839275,3.6076827,9.5762,5.1240506
Tyler Adams,7,-10.688449,-23.197159,1.7027475,8.488778
Junior Adamu,5,33.684742,13.290187,8.387791,3.358255
Tosin Adarabioyo,1,-32.054874,0.5898498,-1.1411339,4.968659
Karim Adeyemi,3,34.006058,-6.122923,8.079786,6.149423
Simon Adingra,0,21.99121,5.501911,6.5969157,4.3638062
Amine Adli,5,22.398052,17.328867,6.751848,2.6525872
Yacine Adli,0,6.697992,-7.405864,4.338954,6.19598
Michel Aebischer,2,-15.039357,27.576561,1.6187832,1.2504103
Oladapo Afolayan,0,22.207376,4.657673,6.6886635,4.5152297
Emmanuel Agbadou,1,-31.825771,-1.8262119,-1.0726537,5.24311
Emmanuel Agbadou,1,-30.92117,-0.25582632,-0.97642,5.007937
Lucien Agoume,7,-5.1879334,-27.415909,2.553393,9.184057
Felix Agu,1,-0.9880242,-1.5488917,3.0719006,5.559538
Nayef Aguerd,1,-22.565199,-10.065186,0.10312256,6.773311
Ruben Aguilar,0,-1.8592653,0.5073895,3.0897458,5.312131
Jean-Eudes Aholou,1,-14.30237,-7.3571143,1.264934,6.4723797
Joseph Aidoo,2,-38.3591,20.27672,-1.5828023,1.8689759
Ola Aina,7,-10.605458,-30.865982,1.7221627,9.525868
Rayan Aït-Nouri,4,10.243281,-37.104076,4.995436,10.15694
