Player,Team,Pos,Age,MP,Min,Gls,Ast,xG,xAG,npxG,Sh/90,Cmp%,PrgP,KP,PPA,SCA90,Tkl,TklW,Int,Clr,PrgC,PrgR,Succ%,Carries,Touches
Victor Osimhen,Galatasaray,ST,26,29,2420,26,5,22.4,3.1,19.8,4.21,54.2,32,18,9,3.84,8,5,4,6,28,87,58.3,312,498
Barış Alper Yılmaz,Galatasaray,RW,24,32,2580,12,6,9.8,6.2,8.9,2.34,72.8,68,50,22,4.21,24,15,18,5,82,124,61.4,542,876
Dries Mertens,Galatasaray,AM,37,34,2180,5,7,4.2,7.1,4.0,1.12,82.4,98,64,31,5.14,12,7,14,3,45,68,64.2,418,712
Gabriel Sara,Galatasaray,CM,25,30,2310,4,8,4.8,8.2,4.5,1.24,80.6,112,68,28,5.62,28,18,32,8,72,95,59.7,486,842
Lucas Torreira,Galatasaray,CDM,28,32,2680,3,4,2.1,3.4,2.0,0.68,88.2,142,28,12,2.84,78,52,64,22,38,42,64.8,524,1024
Abdülkerim Bardakcı,Galatasaray,CB,28,32,2720,3,2,2.4,1.2,2.2,0.54,87.4,148,8,3,0.72,42,28,58,124,18,14,68.4,312,842
Davinson Sánchez,Galatasaray,CB,28,31,2580,2,1,1.8,0.8,1.6,0.38,86.2,134,6,2,0.58,38,24,52,138,12,8,66.2,286,768
Kaan Ayhan,Galatasaray,CB,29,28,2340,1,1,1.1,0.9,1.0,0.28,89.4,152,5,2,0.48,34,22,48,142,10,6,70.2,268,724
Ismail Jakobs,Galatasaray,LB,25,26,2012,1,4,0.9,3.8,0.8,0.42,78.4,82,32,14,2.84,32,20,28,48,42,62,58.4,342,612
Elias Jelert,Galatasaray,RB,22,24,1820,0,3,0.4,2.8,0.4,0.32,76.8,74,28,12,2.24,28,18,24,42,38,54,56.2,298,524
Yunus Akgün,Galatasaray,LW,22,30,2240,7,10,6.8,9.2,6.4,1.84,74.2,82,50,21,4.84,22,14,18,4,68,98,62.4,486,784
Kerem Demirbay,Galatasaray,CM,31,22,1580,2,4,2.2,4.4,2.0,0.82,84.8,102,42,18,3.84,24,14,28,8,42,54,60.8,368,642
Berkan Kutlu,Galatasaray,CM,26,28,1920,3,3,3.1,3.2,2.8,0.98,79.4,78,34,14,3.14,32,20,26,10,52,68,58.2,412,698
Fernando Muslera,Galatasaray,GK,38,30,2700,0,0,0.0,0.0,0.0,0.00,78.4,28,2,0,0.28,0,0,2,4,2,0,0.0,58,182
Roland Sallai,Galatasaray,RW/AM,27,28,1680,4,5,4.2,4.8,3.8,1.62,72.4,58,38,16,3.84,18,10,16,6,54,72,56.4,362,612
Victor Nelsson,Galatasaray,CB,26,20,1620,1,0,0.8,0.4,0.8,0.24,85.8,98,4,1,0.38,28,18,38,98,8,4,64.8,212,582
Wilfried Zaha,Galatasaray,LW,32,18,1240,3,2,3.4,2.2,3.1,2.14,68.2,42,28,12,4.42,14,8,8,3,48,64,54.2,284,482
Przemysław Frankowski,Galatasaray,RM,29,14,820,0,1,0.4,1.2,0.4,0.52,74.8,38,18,7,2.84,12,7,10,4,32,44,57.4,182,312
Dušan Tadić,Fenerbahçe,AM/LW,36,34,2860,8,13,7.2,12.4,6.8,1.24,84.2,148,82,38,6.84,18,10,24,4,58,82,65.4,524,924
Edin Džeko,Fenerbahçe,ST,38,30,2340,14,4,13.2,3.8,11.4,2.84,68.4,38,18,8,2.84,12,7,6,8,22,58,52.4,312,524
Youssef En-Nesyri,Fenerbahçe,ST,27,28,1980,11,3,10.8,2.8,9.4,3.42,58.4,28,12,6,2.42,8,4,6,10,18,52,50.2,242,412
Allan Saint-Maximin,Fenerbahçe,LW,27,26,1840,6,5,6.2,5.4,5.8,2.84,68.4,62,44,18,4.84,18,10,12,4,82,98,62.4,484,784
Michy Batshuayi,Fenerbahçe,ST,31,24,1620,8,2,7.8,1.8,7.2,2.98,58.2,24,12,5,2.24,10,6,4,6,16,42,48.4,224,382
Cengiz Ünder,Fenerbahçe,RW,27,28,1920,5,6,5.4,6.2,5.0,1.84,72.4,62,44,18,4.14,22,14,14,4,62,82,58.4,412,692
Fred,Fenerbahçe,CDM,31,30,2480,2,3,1.8,2.8,1.6,0.54,86.4,132,28,12,2.14,72,48,58,18,32,38,62.4,498,968
Sofyan Amrabat,Fenerbahçe,CDM,28,26,2120,1,2,1.2,1.8,1.1,0.42,84.8,118,24,8,1.84,68,44,54,24,28,32,64.8,448,882
Alexander Djiku,Fenerbahçe,CB,30,30,2540,2,1,1.6,0.8,1.5,0.32,87.2,142,6,2,0.52,36,22,52,148,10,6,68.2,296,782
Jayden Oosterwolde,Fenerbahçe,LB,23,28,2280,1,4,0.8,3.8,0.8,0.38,78.4,88,32,14,2.84,28,18,26,44,44,62,56.4,348,624
Mert Müldür,Fenerbahçe,RB,25,26,2040,1,3,0.6,2.8,0.6,0.28,76.8,78,28,11,2.42,24,16,22,38,38,52,55.2,312,562
Çağlar Söyüncü,Fenerbahçe,CB,28,24,1980,1,1,0.9,0.8,0.8,0.24,88.4,138,5,2,0.42,32,20,46,138,8,4,66.8,274,742
Sebastian Szymanski,Fenerbahçe,CM,25,28,2180,5,6,5.2,6.4,4.8,1.42,78.4,98,52,22,4.24,28,18,22,8,54,72,58.4,412,712
İrfan Can Kahveci,Fenerbahçe,CM,28,24,1780,4,5,4.2,5.2,3.8,1.24,76.8,84,44,18,3.84,24,14,18,6,48,64,56.4,368,638
Dominik Livaković,Fenerbahçe,GK,29,34,3060,0,0,0.0,0.0,0.0,0.00,72.4,24,2,0,0.24,0,0,2,4,2,0,0.0,48,162
Bright Osayi-Samuel,Fenerbahçe,RB/RW,26,22,1640,2,4,1.8,3.8,1.7,0.82,72.4,62,32,13,3.24,22,14,18,22,48,58,58.4,312,542
Mert Yandaş,Fenerbahçe,CM,27,24,1820,3,4,3.2,4.2,2.9,0.98,80.4,88,38,16,3.14,28,18,22,8,44,58,58.4,378,652
Ciro Immobile,Beşiktaş,ST,35,34,2780,15,4,13.8,3.4,12.2,3.14,58.4,32,14,7,2.42,10,6,4,8,18,64,48.4,298,498
Semih Kılıçsoy,Beşiktaş,ST,19,22,1480,8,3,7.8,2.8,7.2,2.84,56.4,22,12,5,2.14,8,4,4,6,14,38,46.4,214,362
Orkun Kökçü,Beşiktaş,CM,24,30,2520,5,7,5.2,7.2,4.8,1.24,82.4,112,58,24,4.84,28,18,24,8,54,72,62.4,458,784
Rafa Silva,Beşiktaş,AM/RW,31,28,2140,6,6,6.2,6.4,5.8,1.84,74.4,82,52,22,4.84,20,12,16,5,62,84,58.4,412,712
Muçi Ernest,Beşiktaş,LW,22,26,1820,5,5,5.4,5.2,5.0,1.84,68.4,62,42,18,4.24,18,10,12,4,58,78,56.4,368,632
Jonas Svensson,Beşiktaş,RB,32,28,2320,1,4,0.8,3.8,0.8,0.32,76.8,82,28,11,2.42,28,18,22,42,38,52,54.4,322,582
Gabriel,Beşiktaş,LB,27,26,2080,0,3,0.4,2.8,0.4,0.28,74.8,74,24,10,2.14,22,14,18,38,34,46,53.4,292,524
Necip Uysal,Beşiktaş,CDM,32,24,1920,1,2,0.9,1.8,0.8,0.38,86.4,118,22,8,1.64,58,38,48,24,24,28,62.4,412,824
Romain Saïss,Beşiktaş,CB,34,26,2180,2,1,1.8,0.8,1.6,0.32,87.4,138,5,2,0.42,34,22,48,142,8,4,66.4,278,752
Dele Alli,Beşiktaş,AM,29,18,1180,2,3,2.2,3.2,2.0,0.98,74.4,62,38,16,3.84,14,8,12,5,38,52,55.4,262,452
Al-Musrati,Beşiktaş,CDM,29,26,2040,1,2,1.1,1.8,1.0,0.38,85.4,112,20,8,1.54,62,42,52,20,22,26,62.4,394,786
Rachid Ghezzal,Beşiktaş,RW,32,20,1420,3,4,3.2,4.2,3.0,1.42,72.4,52,34,14,3.84,16,9,12,4,44,58,56.4,298,512
Mustafa Hekimoğlu,Beşiktaş,ST,19,20,1180,4,2,4.2,1.8,3.8,2.24,54.4,18,10,4,1.84,6,3,4,5,12,32,46.4,172,292
Arthur Masuaku,Beşiktaş,LB,30,24,1840,1,3,0.6,2.8,0.6,0.28,72.4,68,22,9,1.94,20,12,16,34,30,42,52.4,272,492
Emirhan İlkhan,Beşiktaş,CM,20,22,1520,1,2,1.2,2.2,1.1,0.48,78.4,74,28,11,2.64,24,14,18,8,32,42,55.4,298,532
Mauro Icardi,Galatasaray,ST,31,34,2740,25,9,21.8,7.2,19.4,3.84,61.2,38,22,10,3.24,10,6,4,8,22,72,49.2,298,512
